points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
13,1,,5,5,1,3,11,50%,0,1,林俊吉,90,林俊吉,11,1,3,54.71%,27:27,5,1-5,20%,5,3-6,50%,2,2-2,100%
4,3,,2,0,0,3,7,66.67%,3,2,李德威,94,李德威,26,0,6,66.67%,17:19,3,2-3,66.67%,3,0-0,0%,0,0-0,0%
0,-5,,0,0,0,0,0,0%,0,0,吳松蔚,95,吳松蔚,30,0,0,0%,01:25,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,1,〇,1,6,0,2,4,0%,0,1,吳家駿,215,吳家駿,3,0,2,0%,20:18,1,0-1,0%,1,0-2,0%,0,0-0,0%
0,-3,,1,0,0,1,-1,0%,0,0,林耀宗,59,林耀宗,7,0,1,0%,02:59,0,0-0,0%,0,0-1,0%,0,0-0,0%
12,3,〇,5,2,3,10,16,37.5%,0,4,波因特,277,波因特,15,0,10,54.15%,25:38,6,3-6,50%,6,0-2,0%,7,6-7,85.71%
6,10,〇,1,1,0,2,2,27.27%,3,3,盧冠良,278,盧冠良,28,0,5,27.27%,31:53,2,0-2,0%,2,2-9,22.22%,0,0-0,0%
,,,,,,,,,,,周柏臣,279,周柏臣,88,,,,DNP,,,,,,,,,
17,5,〇,2,4,1,3,21,57.69%,2,5,錢肯尼,149,錢肯尼,23,3,5,61.24%,42:57,7,3-7,42.86%,7,3-6,50%,2,2-2,100%
6,-4,,0,2,0,1,1,30%,0,1,吳永盛,229,吳永盛,14,0,1,30%,16:48,2,0-2,0%,2,2-8,25%,0,0-0,0%
14,-3,,1,1,0,2,12,85.71%,0,1,簡浩,222,簡浩,21,0,2,84.13%,17:54,1,0-1,0%,1,4-6,66.67%,3,2-3,66.67%
25,7,〇,3,2,1,14,41,87.5%,6,6,吉爾貝克,212,吉爾貝克,34,2,20,80.54%,35:22,10,9-10,90%,10,1-2,50%,8,4-8,50%
,,,,,,,,,,,王振原,227,王振原,8,,,,DNP,,,,,,,,,
