points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
0,0,,0,0,0,0,0,0%,0,1,張耕淯,66,張耕淯,29,0,0,0%,03:10,0,0-0,0%,0,0-0,0%,0,0-0,0%
5,-4,,2,2,0,1,3,37.5%,0,0,賴廷恩,40,賴廷恩,0,0,1,51.23%,17:02,0,0-0,0%,0,1-4,25%,2,2-2,100%
,,,,,,,,,,,林孟學,49,林孟學,13,,,,DNP,,,,,,,,,
11,-2,,2,2,1,7,20,40%,2,4,曾祥鈞,52,曾祥鈞,21,5,9,48.59%,28:44,7,4-7,57.14%,7,0-3,0%,3,3-3,100%
18,0,〇,2,4,0,3,16,65.38%,0,1,林志傑,48,林志傑,12,0,3,64.84%,30:13,7,4-7,57.14%,7,3-6,50%,2,1-2,50%
6,5,〇,1,4,0,2,7,42.86%,0,3,蔡文誠,50,蔡文誠,14,0,2,42.86%,24:50,5,3-5,60%,5,0-2,0%,0,0-0,0%
4,1,,0,1,0,1,3,28.57%,1,0,陳范柏彥,270,陳范柏彥,1,1,2,28.57%,11:46,5,2-5,40%,5,0-2,0%,0,0-0,0%
12,-2,〇,6,4,2,16,25,37.5%,2,2,強森,269,強森,5,3,18,45.05%,43:21,6,3-6,50%,6,1-6,16.67%,3,3-3,100%
0,-3,,1,0,0,0,-1,0%,0,1,謝宗融,274,謝宗融,15,0,0,0%,03:32,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,-2,,0,0,0,0,0,0%,0,0,簡廷兆,275,簡廷兆,24,0,0,0%,00:29,0,0-0,0%,0,0-0,0%,0,0-0,0%
3,11,〇,1,2,1,1,4,20%,2,6,塞瑟夫,54,塞瑟夫,32,1,3,25.51%,20:23,4,1-4,25%,4,0-1,0%,2,1-2,50%
15,6,〇,2,1,0,2,8,43.33%,0,2,張宗憲,43,張宗憲,3,1,2,47.23%,30:58,11,5-11,45.45%,11,1-4,25%,2,2-2,100%
6,0,,1,2,0,2,7,62.5%,1,3,洪楷傑,235,洪楷傑,11,0,3,61.48%,25:32,3,1-3,33.33%,3,1-1,100%,2,1-2,50%
