points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
14,-7,,3,6,0,2,14,60%,0,2,林俊吉,90,林俊吉,11,1,2,61.84%,28:54,7,3-7,42.86%,7,2-3,66.67%,3,2-3,66.67%
2,-10,,0,1,0,0,4,100%,0,2,李德威,94,李德威,26,1,0,100%,10:23,1,1-1,100%,1,0-0,0%,0,0-0,0%
15,1,,1,2,0,2,15,81.25%,0,2,陳振傑,148,陳振傑,0,0,2,84.46%,20:20,3,2-3,66.67%,3,3-5,60%,2,2-2,100%
5,6,,0,1,0,1,6,83.33%,0,0,楊盛硯,93,楊盛硯,18,0,1,83.33%,04:22,1,1-1,100%,1,1-2,50%,0,0-0,0%
,,,,,,,,,,,吳松蔚,95,吳松蔚,30,,,,DNP,,,,,,,,,
4,10,〇,0,1,0,1,5,50%,0,1,吳家駿,215,吳家駿,3,1,1,50%,16:43,4,2-4,50%,4,0-0,0%,0,0-0,0%
,,,,,,,,,,,林耀宗,59,林耀宗,7,,,,DNP,,,,,,,,,
34,0,〇,1,5,3,10,44,64.29%,2,3,波因特,277,波因特,15,3,12,66.93%,34:17,14,9-14,64.29%,14,3-7,42.86%,10,7-10,70%
6,6,,2,0,0,1,-1,27.27%,1,2,盧冠良,278,盧冠良,28,1,2,27.27%,23:58,6,3-6,50%,6,0-5,0%,0,0-0,0%
6,14,〇,2,3,1,4,11,75%,1,2,周柏臣,279,周柏臣,88,0,5,75%,37:41,0,0-0,0%,0,2-4,50%,0,0-0,0%
0,-11,〇,0,1,0,0,-5,0%,0,3,吳永盛,229,吳永盛,14,1,0,0%,24:18,3,0-3,0%,3,0-4,0%,0,0-0,0%
20,16,〇,2,1,3,12,34,69.23%,2,4,吉爾貝克,212,吉爾貝克,34,2,14,72.05%,39:04,13,9-13,69.23%,13,0-0,0%,2,2-2,100%
,,,,,,,,,,,王振原,227,王振原,8,,,,DNP,,,,,,,,,
