points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,王柏智,89,王柏智,10,,,,DNP,,,,,,,,,
2,16,,1,0,0,3,5,50%,0,1,張伯維,45,張伯維,77,2,3,50%,17:55,1,1-1,100%,1,0-1,0%,0,0-0,0%
2,-5,〇,1,1,0,1,0,16.67%,1,0,邱柏璋,283,邱柏璋,14,1,2,16.67%,14:32,6,1-6,16.67%,6,0-0,0%,0,0-0,0%
18,23,〇,2,5,1,4,20,53.33%,3,4,悟空,353,悟空,3,3,7,51.02%,31:09,7,5-7,71.43%,7,2-8,25%,6,2-6,33.33%
12,-10,〇,3,2,0,10,22,30.77%,9,3,路易士,359,路易士,5,1,19,40.65%,35:08,13,4-13,30.77%,13,0-0,0%,4,4-4,100%
2,-3,,1,1,1,1,3,0%,6,2,張傑瑋,282,張傑瑋,2,1,7,11.26%,17:43,5,0-5,0%,5,0-3,0%,2,2-2,100%
,,,,,,,,,,,林郅為,286,林郅為,18,,,,DNP,,,,,,,,,
38,16,〇,2,5,2,6,39,68%,0,4,林書豪,354,林書豪,7,1,6,71%,39:48,14,8-14,57.14%,14,6-11,54.55%,4,4-4,100%
0,15,,1,0,1,1,1,0%,0,2,孫思堯,62,孫思堯,20,1,1,0%,17:00,1,0-1,0%,1,0-0,0%,0,0-0,0%
20,9,,1,0,0,1,16,83.33%,0,1,呂政儒,208,呂政儒,13,1,1,83.33%,32:05,4,1-4,25%,4,6-8,75%,0,0-0,0%
5,7,〇,0,2,1,3,5,27.78%,1,2,藍少甫,209,藍少甫,23,0,4,27.78%,28:44,3,1-3,33.33%,3,1-6,16.67%,0,0-0,0%
,,,,,,,,,,,林均濠,206,林均濠,11,,,,DNP,,,,,,,,,
0,-3,,0,1,0,3,4,0%,0,0,陳又瑋,204,陳又瑋,4,1,3,0%,05:56,1,0-1,0%,1,0-0,0%,0,0-0,0%
