points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
5,-3,,1,2,2,2,8,30%,0,1,成力煥,72,成力煥,21,2,2,42.52%,18:10,1,0-1,0%,1,1-4,25%,2,2-2,100%
10,2,,1,0,0,1,7,62.5%,0,2,陳冠全,67,陳冠全,15,1,1,62.5%,25:06,5,2-5,40%,5,2-3,66.67%,0,0-0,0%
14,-17,〇,2,0,0,2,13,81.25%,2,5,施晉堯,65,施晉堯,28,1,4,78.83%,29:30,3,2-3,66.67%,3,3-5,60%,2,1-2,50%
,,,,,,,,,,,丁恩迪,293,丁恩迪,1,,,,DNP,,,,,,,,,
15,-9,〇,2,2,0,8,13,33.33%,1,1,桑尼,296,桑尼,13,0,9,42.52%,24:49,15,5-15,33.33%,15,0-0,0%,6,5-6,83.33%
,,,,,,,,,,,張鎮衙,297,張鎮衙,27,,,,DNP,,,,,,,,,
12,1,,1,4,0,1,12,78.57%,0,5,白曜誠,298,白曜誠,30,0,1,76.14%,28:45,3,1-3,33.33%,3,3-4,75%,2,1-2,50%
9,-12,〇,3,6,4,5,12,29.17%,0,3,艾爾斯,342,艾爾斯,4,0,5,34.94%,34:32,3,2-3,66.67%,3,1-9,11.11%,2,2-2,100%
0,-11,〇,2,2,0,1,-2,0%,0,1,李家慷,218,李家慷,12,0,1,0%,11:00,0,0-0,0%,0,0-3,0%,0,0-0,0%
0,7,,0,0,0,2,1,0%,1,1,林正,64,林正,25,0,3,0%,10:50,2,0-2,0%,2,0-0,0%,0,0-0,0%
11,9,,4,2,0,3,13,66.67%,3,2,黃泓瀚,221,黃泓瀚,22,1,6,75.14%,27:06,3,1-3,33.33%,3,2-3,66.67%,3,3-3,100%
,,,,,,,,,,,陳昱瑞,219,陳昱瑞,00,,,,DNP,,,,,,,,,
5,-7,〇,6,0,0,4,-2,28.57%,1,1,盧峻翔,226,盧峻翔,69,2,5,28.54%,30:12,5,2-5,40%,5,0-2,0%,4,1-4,25%
