points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
23,-4,〇,1,6,0,3,27,76.92%,1,4,林俊吉,90,林俊吉,11,0,4,80.31%,31:28,7,4-7,57.14%,7,4-6,66.67%,3,3-3,100%
14,-1,〇,3,2,1,2,3,31.82%,1,3,李德威,94,李德威,26,1,3,31.82%,37:24,19,7-19,36.84%,19,0-3,0%,0,0-0,0%
2,5,,0,0,0,0,1,50%,0,0,陳振傑,148,陳振傑,0,0,0,50%,02:35,1,1-1,100%,1,0-1,0%,0,0-0,0%
,,,,,,,,,,,楊盛硯,93,楊盛硯,18,,,,DNP,,,,,,,,,
,,,,,,,,,,,吳松蔚,95,吳松蔚,30,,,,DNP,,,,,,,,,
5,-2,,0,4,0,1,11,50%,1,0,吳家駿,215,吳家駿,3,3,2,50%,16:32,4,1-4,25%,4,1-1,100%,0,0-0,0%
7,-15,〇,0,0,0,4,11,38.89%,5,1,林耀宗,59,林耀宗,7,2,9,37.08%,24:01,8,2-8,25%,8,1-1,100%,1,0-1,0%
28,10,〇,4,6,5,11,41,65.79%,1,2,波因特,277,波因特,15,3,12,66.04%,38:44,14,11-14,78.57%,14,1-5,20%,5,3-5,60%
2,-18,,0,1,0,2,5,33.33%,1,3,盧冠良,278,盧冠良,28,1,3,33.33%,14:41,2,1-2,50%,2,0-1,0%,0,0-0,0%
5,-23,〇,0,2,0,3,-1,22.73%,0,3,錢肯尼,149,錢肯尼,23,0,3,21.04%,22:08,6,1-6,16.67%,6,1-5,20%,2,0-2,0%
10,12,,2,2,0,3,9,55.56%,1,3,吳永盛,229,吳永盛,14,0,4,55.56%,23:55,4,2-4,50%,4,2-5,40%,0,0-0,0%
9,6,,4,3,0,6,13,90%,0,2,簡浩,222,簡浩,21,1,6,90%,28:32,0,0-0,0%,0,3-5,60%,0,0-0,0%
,,,,,,,,,,,吉爾貝克,212,吉爾貝克,34,,,,DNP,,,,,,,,,
