points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
12,8,,0,0,0,2,12,61.11%,0,3,成力煥,72,成力煥,21,2,2,63.56%,20:05,5,4-5,80%,5,1-4,25%,1,1-1,100%
1,0,,2,0,1,1,-5,0%,1,0,陳冠全,67,陳冠全,15,0,2,7.27%,15:30,2,0-2,0%,2,0-4,0%,2,1-2,50%
1,-13,〇,0,2,0,1,-2,0%,1,3,施晉堯,65,施晉堯,28,0,2,7.27%,21:52,1,0-1,0%,1,0-5,0%,2,1-2,50%
,,,,,,,,,,,關達祐,58,關達祐,6,,,,DNP,,,,,,,,,
9,-8,,0,0,0,5,12,50%,1,1,丁恩迪,293,丁恩迪,1,1,6,57.11%,21:10,6,2-6,33.33%,6,1-1,100%,2,2-2,100%
16,-1,,3,3,0,12,19,35.71%,2,1,桑尼,296,桑尼,13,0,14,45.66%,36:01,10,5-10,50%,10,0-4,0%,8,6-8,75%
2,0,,1,0,0,2,4,50%,1,0,張鎮衙,297,張鎮衙,27,1,3,50%,09:54,1,1-1,100%,1,0-1,0%,0,0-0,0%
5,-14,,2,4,0,3,6,25%,1,2,白曜誠,298,白曜誠,30,1,4,29.62%,29:41,6,2-6,33.33%,6,0-2,0%,1,1-1,100%
10,-16,〇,1,0,0,3,7,50%,1,2,艾爾斯,342,艾爾斯,4,0,4,51.23%,19:24,6,4-6,66.67%,6,0-2,0%,4,2-4,50%
0,1,〇,0,0,0,1,1,0%,1,1,林正,64,林正,25,0,2,0%,03:55,1,0-1,0%,1,0-0,0%,0,0-0,0%
2,0,〇,0,3,1,1,6,0%,3,2,黃泓瀚,221,黃泓瀚,22,0,4,20.49%,21:28,3,0-3,0%,3,0-1,0%,2,2-2,100%
0,-3,,0,0,0,0,0,0%,0,0,陳昱瑞,219,陳昱瑞,00,0,0,0%,03:54,0,0-0,0%,0,0-0,0%,0,0-0,0%
16,-14,〇,3,3,0,6,12,32.35%,0,3,盧峻翔,226,盧峻翔,69,2,6,41.67%,37:06,7,4-7,57.14%,7,1-10,10%,5,5-5,100%
