points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
13,21,〇,0,4,0,1,13,55.56%,0,1,楊敬敏,87,楊敬敏,6,1,1,60.41%,27:26,4,2-4,50%,4,2-5,40%,4,3-4,75%
22,17,〇,1,7,0,1,28,100%,1,4,林書緯,41,林書緯,1,3,2,92.59%,29:59,5,2-5,40%,5,6-6,100%,2,0-2,0%
23,23,〇,1,4,5,17,45,62.5%,4,3,牧倫斯,265,牧倫斯,5,0,21,70.12%,33:58,8,6-8,75%,8,1-4,25%,10,8-10,80%
19,10,〇,5,3,1,7,8,33.33%,3,4,曼尼高,337,曼尼高,55,1,10,34.52%,35:12,20,8-20,40%,20,0-4,0%,8,3-8,37.5%
2,-1,,0,0,0,0,1,50%,0,1,李威廷,288,李威廷,4,0,0,50%,02:09,2,1-2,50%,2,0-0,0%,0,0-0,0%
3,9,〇,0,0,0,2,3,50%,1,1,蘇士軒,290,蘇士軒,17,0,3,45.18%,20:47,1,1-1,100%,1,0-1,0%,3,1-3,33.33%
5,-7,,1,2,3,3,14,50%,4,1,戴維斯,69,戴維斯,50,1,7,50%,12:28,1,1-1,100%,1,1-4,25%,0,0-0,0%
8,6,,6,1,0,4,3,33.33%,1,4,李愷諺,233,李愷諺,9,0,5,48.78%,25:19,2,2-2,100%,2,0-4,0%,5,4-5,80%
0,0,,0,1,0,4,5,0%,2,0,陳俊男,232,陳俊男,3,0,6,0%,20:17,1,0-1,0%,1,0-1,0%,0,0-0,0%
1,-2,,1,0,0,1,0,0%,0,2,楊興治,228,楊興治,13,0,1,56.82%,07:58,0,0-0,0%,0,0-0,0%,2,1-2,50%
3,0,,0,0,0,1,1,25%,0,1,簡祐哲,234,簡祐哲,10,2,1,25%,09:52,0,0-0,0%,0,1-6,16.67%,0,0-0,0%
2,0,,0,0,0,1,4,100%,1,0,聶歐瑪,238,聶歐瑪,25,0,2,100%,01:34,1,1-1,100%,1,0-0,0%,0,0-0,0%
0,4,,1,3,0,2,4,0%,0,0,洪志善,237,洪志善,24,0,2,0%,13:01,0,0-0,0%,0,0-0,0%,0,0-0,0%
