points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
21,-10,〇,2,7,0,7,21,36.36%,1,2,高國豪,84,高國豪,4,1,8,43.39%,41:48,20,8-20,40%,20,0-2,0%,5,5-5,100%
5,3,,2,3,1,3,7,40%,0,1,李家瑞,79,李家瑞,12,1,3,42.52%,21:51,4,2-4,50%,4,0-1,0%,2,1-2,50%
6,7,〇,2,1,0,4,9,75%,1,0,宋宇軒,75,宋宇軒,5,0,5,75%,13:19,4,3-4,75%,4,0-0,0%,0,0-0,0%
3,-8,,0,0,0,2,5,150%,0,2,郭少傑,47,郭少傑,24,0,2,150%,17:00,0,0-0,0%,0,1-1,100%,0,0-0,0%
0,-3,,0,0,0,1,1,0%,0,0,姜廣謙,300,姜廣謙,2,0,1,0%,04:38,0,0-0,0%,0,0-0,0%,0,0-0,0%
4,-15,〇,1,4,0,2,1,25%,0,1,曾柏喻,301,曾柏喻,7,0,2,22.52%,40:22,6,2-6,33.33%,6,0-2,0%,2,0-2,0%
4,-9,,1,0,0,3,3,33.33%,0,2,伊波卡,302,伊波卡,21,1,3,33.33%,13:40,6,2-6,33.33%,6,0-0,0%,0,0-0,0%
0,-5,,2,0,0,0,-4,0%,0,2,呂奇旻,303,呂奇旻,23,0,0,0%,11:27,0,0-0,0%,0,0-2,0%,0,0-0,0%
21,-11,〇,3,6,1,11,30,52.94%,6,2,阿提諾,304,阿提諾,31,1,17,51.17%,38:00,16,9-16,56.25%,16,0-1,0%,8,3-8,37.5%
27,-9,〇,2,1,0,6,29,52.27%,7,4,班尼特,255,班尼特,13,2,13,56.82%,37:55,13,7-13,53.85%,13,3-9,33.33%,4,4-4,100%
