points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
10,23,〇,2,7,0,4,13,31.82%,1,3,高國豪,84,高國豪,4,2,5,39.18%,43:30,9,2-9,22.22%,9,1-2,50%,4,3-4,75%
8,5,,2,2,2,12,17,43.75%,3,0,李家瑞,79,李家瑞,12,0,15,40.98%,22:43,7,2-7,28.57%,7,1-1,100%,4,1-4,25%
6,8,,2,1,0,2,8,60%,3,1,宋宇軒,75,宋宇軒,5,0,5,60%,17:05,5,3-5,60%,5,0-0,0%,0,0-0,0%
2,-2,,2,2,0,0,2,100%,0,2,田浩,82,田浩,9,0,0,100%,06:51,1,1-1,100%,1,0-0,0%,0,0-0,0%
0,7,〇,1,1,0,1,0,0%,0,1,郭少傑,47,郭少傑,24,0,1,0%,04:57,0,0-0,0%,0,0-1,0%,0,0-0,0%
40,20,〇,3,1,1,10,39,60%,4,5,太樂,357,太樂,3,2,14,61.27%,38:35,22,12-22,54.55%,22,4-8,50%,6,4-6,66.67%
,,,,,,,,,,,姜廣謙,300,姜廣謙,2,,,,DNP,,,,,,,,,
0,1,,2,0,0,0,-4,0%,1,1,曾柏喻,301,曾柏喻,7,0,1,0%,10:30,3,0-3,0%,3,0-0,0%,0,0-0,0%
0,3,,0,0,0,0,1,0%,2,0,伊波卡,302,伊波卡,21,0,2,0%,01:21,1,0-1,0%,1,0-0,0%,0,0-0,0%
3,10,,2,2,0,2,2,33.33%,0,4,呂奇旻,303,呂奇旻,23,0,2,38.66%,18:47,2,1-2,50%,2,0-1,0%,2,1-2,50%
16,22,〇,3,6,1,8,25,54.17%,2,5,阿提諾,304,阿提諾,31,2,10,58.14%,33:37,10,5-10,50%,10,1-2,50%,4,3-4,75%
13,28,〇,6,2,0,5,15,68.75%,0,2,朱雲豪,223,朱雲豪,8,4,5,73.2%,42:04,5,4-5,80%,5,1-3,33.33%,2,2-2,100%
