points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
2,9,,0,0,0,0,-2,16.67%,1,2,成力煥,72,成力煥,21,0,1,16.67%,18:19,3,1-3,33.33%,3,0-3,0%,0,0-0,0%
2,10,,0,1,0,1,6,33.33%,3,0,陳冠全,67,陳冠全,15,1,4,33.33%,12:07,2,1-2,50%,2,0-1,0%,0,0-0,0%
0,0,,0,3,0,3,4,0%,0,2,施晉堯,65,施晉堯,28,1,3,0%,17:04,0,0-0,0%,0,0-3,0%,0,0-0,0%
2,-4,,1,0,0,1,1,100%,0,0,關達祐,58,關達祐,6,0,1,69.44%,07:22,1,1-1,100%,1,0-0,0%,1,0-1,0%
4,-6,,1,0,0,2,2,50%,2,3,丁恩迪,293,丁恩迪,1,0,4,43.1%,07:55,2,1-2,50%,2,0-0,0%,6,2-6,33.33%
21,17,〇,0,2,0,10,29,52.5%,5,3,桑尼,296,桑尼,13,3,15,50.29%,30:13,15,9-15,60%,15,1-5,20%,2,0-2,0%
2,5,〇,0,0,0,2,-2,12.5%,1,2,張鎮衙,297,張鎮衙,27,0,3,12.5%,14:37,2,1-2,50%,2,0-6,0%,0,0-0,0%
18,20,〇,2,2,0,3,19,66.67%,0,2,白曜誠,298,白曜誠,30,3,3,69.88%,37:24,9,5-9,55.56%,9,2-3,66.67%,2,2-2,100%
19,8,〇,2,2,2,11,24,50%,1,1,沃許本,299,沃許本,42,0,12,53.13%,32:57,14,7-14,50%,14,1-3,33.33%,2,2-2,100%
12,12,〇,1,1,0,0,10,50%,1,2,李家慷,218,李家慷,12,3,1,55.15%,33:47,5,2-5,40%,5,2-5,40%,2,2-2,100%
0,-3,,0,2,0,3,6,0%,1,4,林正,64,林正,25,0,4,0%,12:48,0,0-0,0%,0,0-0,0%,0,0-0,0%
,,,,,,,,,,,黃泓瀚,221,黃泓瀚,22,,,,DNP,,,,,,,,,
5,-3,,0,0,0,0,3,62.5%,0,0,盧峻翔,226,盧峻翔,69,0,0,62.5%,15:27,1,1-1,100%,1,1-3,33.33%,0,0-0,0%
