points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
29,-5,〇,2,3,0,1,21,61.36%,0,3,高國豪,84,高國豪,4,0,1,63.37%,43:47,14,9-14,64.29%,14,3-8,37.5%,2,2-2,100%
3,-4,,2,0,0,1,-2,16.67%,0,2,李家瑞,79,李家瑞,12,2,1,21.8%,18:17,5,1-5,20%,5,0-1,0%,2,1-2,50%
17,15,〇,0,2,0,1,18,70%,1,5,宋宇軒,75,宋宇軒,5,0,2,75.09%,25:34,10,7-10,70%,10,0-0,0%,3,3-3,100%
7,-9,,1,5,0,3,14,50%,2,4,田浩,82,田浩,9,2,5,50.87%,25:52,5,3-5,60%,5,0-1,0%,2,1-2,50%
0,-17,,0,0,0,0,-1,0%,0,1,郭少傑,47,郭少傑,24,1,0,0%,09:35,0,0-0,0%,0,0-2,0%,0,0-0,0%
5,-13,〇,2,1,0,1,1,22.22%,2,6,太樂,357,太樂,3,3,3,24.22%,16:15,6,2-6,33.33%,6,0-3,0%,3,1-3,33.33%
,,,,,,,,,,,姜廣謙,300,姜廣謙,2,,,,DNP,,,,,,,,,
5,0,,0,1,0,0,4,66.67%,0,2,曾柏喻,301,曾柏喻,7,0,0,64.43%,10:38,3,2-3,66.67%,3,0-0,0%,2,1-2,50%
6,2,,1,1,1,7,12,50%,0,1,伊波卡,302,伊波卡,21,1,7,50%,16:32,6,3-6,50%,6,0-0,0%,0,0-0,0%
,,,,,,,,,,,呂奇旻,303,呂奇旻,23,,,,DNP,,,,,,,,,
23,-3,〇,1,1,0,14,35,55.56%,5,0,阿提諾,304,阿提諾,31,3,19,56.93%,44:56,16,10-16,62.5%,16,0-2,0%,5,3-5,60%
8,-11,〇,1,3,1,0,5,25%,0,1,朱雲豪,223,朱雲豪,8,0,0,40.98%,28:34,5,2-5,40%,5,0-3,0%,4,4-4,100%
