points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
2,-5,,0,0,0,2,4,50%,0,0,成力煥,72,成力煥,21,1,2,50%,07:17,2,1-2,50%,2,0-0,0%,0,0-0,0%
6,11,,2,6,0,0,8,42.86%,1,3,陳冠全,67,陳冠全,15,1,1,42.86%,22:13,6,3-6,50%,6,0-1,0%,0,0-0,0%
2,3,〇,4,1,1,3,-4,0%,0,5,施晉堯,65,施晉堯,28,0,3,12.69%,40:39,2,0-2,0%,2,0-5,0%,2,2-2,100%
0,-7,,0,0,0,0,0,0%,0,2,關達祐,58,關達祐,6,0,0,0%,02:16,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,-11,〇,2,0,0,0,-2,0%,0,1,丁恩迪,293,丁恩迪,1,0,0,0%,07:07,0,0-0,0%,0,0-0,0%,0,0-0,0%
1,-3,,0,0,0,0,-3,0%,0,0,張鎮衙,297,張鎮衙,27,1,0,10.25%,05:20,0,0-0,0%,0,0-4,0%,2,1-2,50%
3,-7,,2,1,0,0,1,75%,0,2,白曜誠,298,白曜誠,30,0,0,75%,21:00,0,0-0,0%,0,1-2,50%,0,0-0,0%
25,2,,3,1,1,8,24,47.5%,4,1,沃許本,299,沃許本,42,1,12,53.15%,34:37,14,8-14,57.14%,14,1-6,16.67%,8,6-8,75%
19,-6,〇,3,2,0,14,31,80%,1,2,艾爾斯,342,艾爾斯,4,1,15,83.92%,32:03,8,5-8,62.5%,8,2-2,100%,3,3-3,100%
,,,,,,,,,,,林正,64,林正,25,,,,DNP,,,,,,,,,
2,-9,〇,1,1,0,0,2,100%,0,2,黃泓瀚,221,黃泓瀚,22,0,0,100%,06:38,1,1-1,100%,1,0-0,0%,0,0-0,0%
3,21,,0,1,0,3,5,37.5%,0,4,陳昱瑞,219,陳昱瑞,00,1,3,37.5%,18:10,2,0-2,0%,2,1-2,50%,0,0-0,0%
21,1,〇,5,1,0,1,16,53.57%,1,2,盧峻翔,226,盧峻翔,69,4,2,63.1%,42:40,9,6-9,66.67%,9,1-5,20%,6,6-6,100%
