points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
0,-2,,0,1,0,1,0,0%,0,1,張伯維,45,張伯維,77,1,1,0%,09:05,2,0-2,0%,2,0-1,0%,0,0-0,0%
,,,,,,,,,,,邱柏璋,283,邱柏璋,14,,,,DNP,,,,,,,,,
12,9,〇,2,1,1,8,20,71.43%,2,3,路易士,359,路易士,5,0,10,76.14%,36:58,7,5-7,71.43%,7,0-0,0%,2,2-2,100%
29,-4,〇,1,3,1,9,35,59.52%,7,5,鐵米,280,鐵米,0,0,16,59.14%,38:56,15,11-15,73.33%,15,1-6,16.67%,8,4-8,50%
6,9,,1,1,0,0,2,62.5%,1,3,張傑瑋,282,張傑瑋,2,0,1,52.08%,08:30,3,1-3,33.33%,3,1-1,100%,4,1-4,25%
,,,,,,,,,,,林郅為,286,林郅為,18,,,,DNP,,,,,,,,,
29,5,〇,4,10,1,7,31,38.64%,1,5,林書豪,354,林書豪,7,4,8,50.7%,40:14,18,7-18,38.89%,18,1-4,25%,15,12-15,80%
0,0,,1,0,0,4,3,0%,3,1,孫思堯,62,孫思堯,20,0,7,0%,11:22,3,0-3,0%,3,0-0,0%,0,0-0,0%
16,5,〇,1,2,0,2,15,77.78%,2,0,呂政儒,208,呂政儒,13,0,4,74.35%,36:04,1,1-1,100%,1,4-8,50%,4,2-4,50%
,,,,,,,,,,,藍少甫,209,藍少甫,23,,,,DNP,,,,,,,,,
,,,,,,,,,,,林均濠,206,林均濠,11,,,,DNP,,,,,,,,,
6,6,〇,1,4,0,4,8,42.86%,1,2,陳又瑋,204,陳又瑋,4,0,5,38.07%,32:20,6,3-6,50%,6,0-1,0%,2,0-2,0%
3,12,,2,0,1,0,-2,20%,1,0,王律翔,211,王律翔,8,0,1,25.51%,26:31,4,1-4,25%,4,0-1,0%,2,1-2,50%
