points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
6,-2,,0,1,0,0,5,50%,1,2,賴廷恩,40,賴廷恩,0,1,1,51.02%,15:32,2,1-2,50%,2,1-3,33.33%,2,1-2,50%
2,5,,2,3,0,0,2,50%,0,3,周桂羽,46,周桂羽,8,0,0,50%,10:14,2,1-2,50%,2,0-0,0%,0,0-0,0%
1,-4,〇,0,0,1,1,0,0%,0,0,林孟學,49,林孟學,13,0,1,17.36%,10:24,2,0-2,0%,2,0-0,0%,2,1-2,50%
16,0,〇,1,5,0,2,15,39.29%,3,4,林志傑,48,林志傑,12,2,5,45.66%,27:27,8,4-8,50%,8,1-6,16.67%,8,5-8,62.5%
2,-4,,1,3,0,0,4,50%,1,0,蔡文誠,50,蔡文誠,14,0,1,50%,08:48,1,1-1,100%,1,0-1,0%,0,0-0,0%
12,0,,0,0,0,6,15,60%,1,4,石博恩,53,石博恩,23,1,7,60%,22:52,4,3-4,75%,4,2-6,33.33%,0,0-0,0%
,,,,,,,,,,,陳范柏彥,270,陳范柏彥,1,,,,DNP,,,,,,,,,
5,7,,1,1,0,2,9,100%,1,2,謝宗融,274,謝宗融,15,2,3,90.58%,23:12,1,1-1,100%,1,0-0,0%,4,3-4,75%
,,,,,,,,,,,簡廷兆,275,簡廷兆,24,,,,DNP,,,,,,,,,
14,-6,〇,1,2,0,7,16,50%,4,2,塞瑟夫,54,塞瑟夫,32,1,11,50.58%,38:09,6,3-6,50%,6,1-3,33.33%,11,5-11,45.45%
14,1,〇,1,2,0,2,15,37.5%,5,2,張宗憲,43,張宗憲,3,3,7,41.47%,32:28,12,6-12,50%,12,0-4,0%,2,2-2,100%
25,9,〇,5,4,0,10,27,35.71%,3,1,辛特力,51,辛特力,17,1,13,59.41%,38:49,8,2-8,25%,8,2-6,33.33%,16,15-16,93.75%
5,-11,,0,1,0,1,6,50%,0,2,洪楷傑,235,洪楷傑,11,1,1,56.31%,12:05,2,2-2,100%,2,0-2,0%,1,1-1,100%
