points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,王柏智,89,王柏智,10,,,,DNP,,,,,,,,,
,,,,,,,,,,,張伯維,45,張伯維,77,,,,DNP,,,,,,,,,
1,-24,〇,1,1,0,3,1,0%,0,3,邱柏璋,283,邱柏璋,14,0,3,17.36%,23:02,2,0-2,0%,2,0-0,0%,2,1-2,50%
18,-13,〇,4,0,1,8,21,56.25%,4,0,克拉索夫,346,克拉索夫,55,1,12,56.25%,37:18,16,9-16,56.25%,16,0-0,0%,0,0-0,0%
18,-10,〇,2,1,1,9,23,56.67%,3,1,鐵米,280,鐵米,0,1,12,56.68%,41:03,9,7-9,77.78%,9,1-6,16.67%,2,1-2,50%
0,0,,0,0,0,0,0,0%,0,0,張傑瑋,282,張傑瑋,2,0,0,0%,00:30,0,0-0,0%,0,0-0,0%,0,0-0,0%
,,,,,,,,,,,林郅為,286,林郅為,18,,,,DNP,,,,,,,,,
23,-5,〇,6,6,0,7,17,36.84%,0,2,林書豪,354,林書豪,7,1,7,48.24%,39:31,13,7-13,53.85%,13,0-6,0%,11,9-11,81.82%
,,,,,,,,,,,孫思堯,62,孫思堯,20,,,,DNP,,,,,,,,,
9,3,,4,3,0,4,7,45%,0,6,呂政儒,208,呂政儒,13,2,4,45%,28:18,2,0-2,0%,2,3-8,37.5%,0,0-0,0%
2,1,,0,0,0,0,1,50%,0,0,藍少甫,209,藍少甫,23,0,0,50%,03:10,1,1-1,100%,1,0-1,0%,0,0-0,0%
6,-7,,4,5,1,6,14,50%,1,5,陳又瑋,204,陳又瑋,4,2,7,50%,31:37,3,3-3,100%,3,0-3,0%,0,0-0,0%
11,-10,〇,2,1,0,4,9,50%,1,0,王律翔,211,王律翔,8,1,5,50%,35:31,3,1-3,33.33%,3,3-8,37.5%,0,0-0,0%
