points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
25,18,〇,3,6,2,9,36,71.43%,0,4,奧帝,341,奧帝,11,3,9,77.16%,41:05,5,4-5,80%,5,4-9,44.44%,5,5-5,100%
18,3,〇,3,0,0,5,12,57.14%,0,0,楊敬敏,87,楊敬敏,6,0,5,60.48%,31:23,6,2-6,33.33%,6,4-8,50%,2,2-2,100%
,,,,,,,,,,,林力仁,76,林力仁,7,,,,DNP,,,,,,,,,
18,18,〇,4,6,0,2,11,44.74%,0,3,林書緯,41,林書緯,1,1,2,46.3%,41:05,11,4-11,36.36%,11,3-8,37.5%,1,1-1,100%
17,-1,〇,2,7,1,14,34,66.67%,1,0,牧倫斯,265,牧倫斯,5,1,15,68.33%,33:36,8,5-8,62.5%,8,2-4,50%,1,1-1,100%
,,,,,,,,,,,李威廷,288,李威廷,4,,,,DNP,,,,,,,,,
0,-6,,0,0,0,0,0,0%,1,0,蘇士軒,290,蘇士軒,17,0,1,0%,01:40,1,0-1,0%,1,0-0,0%,0,0-0,0%
3,1,,0,2,0,0,5,50%,0,3,林金榜,263,林金榜,19,2,0,50%,17:11,2,0-2,0%,2,1-1,100%,0,0-0,0%
10,3,,0,2,1,6,22,55.56%,6,1,戴維斯,69,戴維斯,50,1,12,55.56%,19:39,8,5-8,62.5%,8,0-1,0%,0,0-0,0%
5,18,〇,0,2,0,2,2,50%,0,0,陳俊男,232,陳俊男,3,0,2,37.65%,22:40,3,2-3,66.67%,3,0-1,0%,6,1-6,16.67%
,,,,,,,,,,,楊興治,228,楊興治,13,,,,DNP,,,,,,,,,
9,-8,,0,0,0,1,7,75%,0,2,簡祐哲,234,簡祐哲,10,0,1,75%,24:46,1,0-1,0%,1,3-5,60%,0,0-0,0%
4,-11,,0,0,0,0,2,75%,0,1,林仕軒,231,林仕軒,2,0,0,69.44%,06:55,1,0-1,0%,1,1-1,100%,2,1-2,50%
