points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
1,-8,,1,1,0,4,1,0%,0,2,王柏智,89,王柏智,10,0,4,12.89%,14:37,2,0-2,0%,2,0-1,0%,2,1-2,50%
,,,,,,,,,,,張伯維,45,張伯維,77,,,,DNP,,,,,,,,,
4,-8,,0,0,0,2,6,100%,0,1,邱柏璋,283,邱柏璋,14,0,2,100%,08:48,2,2-2,100%,2,0-0,0%,0,0-0,0%
19,-5,〇,3,4,0,1,17,65.38%,0,3,悟空,353,悟空,3,2,1,68.44%,27:52,5,4-5,80%,5,3-8,37.5%,2,2-2,100%
26,-10,〇,7,3,4,7,31,66.67%,4,1,克拉索夫,346,克拉索夫,55,0,11,71.9%,41:45,15,10-15,66.67%,15,0-0,0%,7,6-7,85.71%
0,1,,0,1,0,0,1,0%,0,0,張傑瑋,282,張傑瑋,2,0,0,0%,01:40,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,-2,,0,0,0,0,-1,0%,0,3,林郅為,286,林郅為,18,0,0,0%,06:07,1,0-1,0%,1,0-0,0%,0,0-0,0%
16,-2,〇,7,5,1,11,17,26.92%,1,2,林書豪,354,林書豪,7,2,12,44.84%,39:03,10,2-10,20%,10,1-3,33.33%,11,9-11,81.82%
8,-3,,0,1,1,2,7,44.44%,1,2,呂政儒,208,呂政儒,13,0,3,44.44%,26:03,3,1-3,33.33%,3,2-6,33.33%,0,0-0,0%
4,-2,〇,1,0,0,2,2,40%,2,4,藍少甫,209,藍少甫,23,0,4,34.01%,33:31,3,2-3,66.67%,3,0-2,0%,2,0-2,0%
,,,,,,,,,,,林均濠,206,林均濠,11,,,,DNP,,,,,,,,,
7,-10,,3,2,0,2,6,31.25%,2,0,陳又瑋,204,陳又瑋,4,2,4,39.41%,22:31,4,1-4,25%,4,1-4,25%,2,2-2,100%
6,-6,〇,2,1,0,0,5,125%,0,0,王律翔,211,王律翔,8,1,0,104.17%,18:03,1,1-1,100%,1,1-1,100%,2,1-2,50%
