points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
4,2,,1,2,0,3,9,50%,2,2,成力煥,72,成力煥,21,1,5,50%,19:12,2,2-2,100%,2,0-2,0%,0,0-0,0%
5,-4,,2,1,1,1,7,50%,1,3,陳冠全,67,陳冠全,15,5,2,42.52%,24:34,1,1-1,100%,1,1-4,25%,2,0-2,0%
7,-1,〇,2,6,0,2,8,38.89%,0,3,施晉堯,65,施晉堯,28,1,2,38.89%,30:36,3,2-3,66.67%,3,1-6,16.67%,0,0-0,0%
0,3,,0,0,0,0,0,0%,0,0,關達祐,58,關達祐,6,0,0,0%,00:22,0,0-0,0%,0,0-0,0%,0,0-0,0%
,,,,,,,,,,,林子洧,294,林子洧,5,,,,DNP,,,,,,,,,
13,-3,〇,1,3,0,5,15,37.5%,4,3,桑尼,296,桑尼,13,2,9,43.1%,26:40,9,3-9,33.33%,9,1-3,33.33%,7,4-7,57.14%
,,,,,,,,,,,張鎮衙,297,張鎮衙,27,,,,DNP,,,,,,,,,
4,-6,,1,4,0,2,4,28.57%,0,1,白曜誠,298,白曜誠,30,0,2,28.57%,24:10,5,2-5,40%,5,0-2,0%,0,0-0,0%
25,1,,3,3,0,7,29,70.59%,4,0,沃許本,299,沃許本,42,1,11,69.91%,32:32,13,6-13,46.15%,13,4-4,100%,2,1-2,50%
,,,,,,,,,,,李家慷,218,李家慷,12,,,,DNP,,,,,,,,,
0,-4,〇,0,1,0,0,-4,0%,0,1,林正,64,林正,25,0,0,0%,12:14,2,0-2,0%,2,0-3,0%,0,0-0,0%
6,-4,〇,2,1,1,6,11,35.71%,3,5,黃泓瀚,221,黃泓瀚,22,2,9,38.07%,28:39,3,1-3,33.33%,3,1-4,25%,2,1-2,50%
24,-9,〇,2,0,0,6,14,47.83%,0,3,盧峻翔,226,盧峻翔,69,2,6,48.47%,41:01,17,5-17,29.41%,17,4-6,66.67%,4,2-4,50%
