points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
4,8,,1,0,0,4,5,33.33%,0,1,張耕淯,66,張耕淯,29,0,4,51.55%,10:02,1,1-1,100%,1,0-2,0%,2,2-2,100%
8,14,,3,6,0,4,9,37.5%,0,0,賴廷恩,40,賴廷恩,0,0,4,45.05%,27:13,1,0-1,0%,1,2-7,28.57%,2,2-2,100%
9,15,,3,1,0,3,8,57.14%,0,3,周桂羽,46,周桂羽,8,1,3,60.48%,25:33,5,4-5,80%,5,0-2,0%,1,1-1,100%
0,4,,1,1,0,5,4,0%,1,2,林孟學,49,林孟學,13,0,6,0%,07:49,2,0-2,0%,2,0-0,0%,0,0-0,0%
6,6,,0,0,0,1,5,50%,0,0,曾祥鈞,52,曾祥鈞,21,1,1,56.39%,03:39,4,2-4,50%,4,0-0,0%,3,2-3,66.67%
4,5,〇,0,3,0,1,3,22.22%,2,1,林志傑,48,林志傑,12,0,3,22.22%,17:45,5,2-5,40%,5,0-4,0%,0,0-0,0%
6,6,〇,0,2,0,2,9,37.5%,3,0,蔡文誠,50,蔡文誠,14,1,5,37.5%,18:39,6,3-6,50%,6,0-2,0%,0,0-0,0%
6,6,,0,0,0,3,5,37.5%,0,5,石博恩,53,石博恩,23,1,3,37.5%,12:33,4,3-4,75%,4,0-4,0%,0,0-0,0%
11,-2,,1,0,0,3,11,78.57%,1,2,陳范柏彥,270,陳范柏彥,1,0,4,78.57%,16:53,2,1-2,50%,2,3-5,60%,0,0-0,0%
17,5,〇,1,3,3,10,32,65%,3,2,強森,269,強森,5,1,13,72.28%,28:44,9,5-9,55.56%,9,1-1,100%,4,4-4,100%
10,20,〇,0,2,0,13,22,56.25%,1,1,塞瑟夫,54,塞瑟夫,32,1,14,56.31%,32:13,6,3-6,50%,6,1-2,50%,2,1-2,50%
4,7,〇,3,2,0,3,1,22.22%,1,1,張宗憲,43,張宗憲,3,1,4,22.22%,17:57,9,2-9,22.22%,9,0-0,0%,0,0-0,0%
4,11,,0,3,0,3,4,25%,0,1,洪楷傑,235,洪楷傑,11,0,3,25%,21:00,3,2-3,66.67%,3,0-5,0%,0,0-0,0%
