points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
0,-13,,2,3,1,3,0,0%,0,2,李家瑞,79,李家瑞,12,0,3,0%,16:45,3,0-3,0%,3,0-2,0%,0,0-0,0%
10,-5,,1,2,1,5,18,83.33%,2,2,蕭順議,80,蕭順議,11,0,7,83.33%,24:57,5,5-5,100%,5,0-1,0%,0,0-0,0%
0,0,,1,0,0,0,-1,0%,0,1,宋宇軒,75,宋宇軒,5,0,0,0%,02:38,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,3,〇,3,2,0,2,-1,0%,0,5,田浩,82,田浩,9,0,2,0%,17:40,1,0-1,0%,1,0-1,0%,0,0-0,0%
0,-7,,0,0,0,0,-1,0%,0,0,姜廣謙,300,姜廣謙,2,0,0,0%,02:47,0,0-0,0%,0,0-1,0%,0,0-0,0%
10,-17,〇,2,6,0,0,3,32.14%,0,0,曾柏喻,301,曾柏喻,7,0,0,33.6%,43:00,7,3-7,42.86%,7,1-7,14.29%,2,1-2,50%
2,-18,,1,0,0,1,1,33.33%,1,1,伊波卡,302,伊波卡,21,0,2,33.33%,06:10,2,1-2,50%,2,0-1,0%,0,0-0,0%
3,-25,,0,0,0,1,1,21.43%,1,0,呂奇旻,303,呂奇旻,23,2,2,21.43%,17:16,2,0-2,0%,2,1-5,20%,0,0-0,0%
11,2,〇,3,2,1,7,18,40%,4,1,阿提諾,304,阿提諾,31,3,11,46.77%,25:19,10,4-10,40%,10,0-0,0%,4,3-4,75%
4,-1,〇,0,2,0,2,3,21.43%,0,4,朱雲豪,223,朱雲豪,8,2,2,25.38%,38:40,1,0-1,0%,1,1-6,16.67%,2,1-2,50%
30,-9,〇,6,3,1,15,38,62.5%,2,3,班尼特,255,班尼特,13,5,17,64.99%,44:48,10,5-10,50%,10,5-10,50%,7,5-7,71.43%
