points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
21,-11,〇,4,3,0,6,21,57.14%,0,1,楊敬敏,87,楊敬敏,6,2,6,63.1%,28:57,14,8-14,57.14%,14,0-0,0%,6,5-6,83.33%
0,2,,0,0,0,2,-1,0%,0,0,林力仁,76,林力仁,7,0,2,0%,03:36,2,0-2,0%,2,0-1,0%,0,0-0,0%
16,-17,〇,4,5,0,2,10,50%,1,1,林書緯,41,林書緯,1,0,3,49.02%,30:15,9,6-9,66.67%,9,1-6,16.67%,3,1-3,33.33%
4,-5,〇,2,1,0,2,-1,33.33%,0,4,蘇士軒,290,蘇士軒,17,0,2,29.07%,20:07,5,2-5,40%,5,0-1,0%,2,0-2,0%
5,2,,0,0,0,1,5,83.33%,0,0,高承恩,291,高承恩,22,0,1,83.33%,03:36,1,1-1,100%,1,1-2,50%,0,0-0,0%
10,-15,〇,1,2,0,6,15,62.5%,0,3,林金榜,263,林金榜,19,2,6,62.5%,26:42,4,2-4,50%,4,2-4,50%,0,0-0,0%
14,-20,,1,4,0,4,13,42.31%,0,2,李愷諺,233,李愷諺,9,1,4,47.43%,24:14,10,4-10,40%,10,1-3,33.33%,4,3-4,75%
4,-9,,2,1,0,3,5,33.33%,1,3,陳俊男,232,陳俊男,3,2,4,33.33%,18:37,5,2-5,40%,5,0-1,0%,0,0-0,0%
3,1,,0,1,1,1,7,50%,2,4,簡祐哲,234,簡祐哲,10,1,3,50%,19:46,1,0-1,0%,1,1-2,50%,0,0-0,0%
2,0,,0,1,0,0,3,0%,0,1,林仕軒,231,林仕軒,2,0,0,113.64%,04:26,0,0-0,0%,0,0-0,0%,2,2-2,100%
9,-5,,2,1,0,0,7,80%,1,4,曾于豪,236,曾于豪,15,0,1,76.53%,15:04,5,4-5,80%,5,0-0,0%,2,1-2,50%
4,5,〇,1,0,0,3,9,50%,4,2,聶歐瑪,238,聶歐瑪,25,1,7,50%,29:39,4,2-4,50%,4,0-0,0%,0,0-0,0%
3,-3,,0,2,0,0,1,30%,0,1,洪志善,237,洪志善,24,0,0,30%,15:01,0,0-0,0%,0,1-5,20%,0,0-0,0%
