points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
10,-10,〇,0,0,0,3,12,62.5%,2,2,王柏智,89,王柏智,10,1,5,62.5%,18:25,4,2-4,50%,4,2-4,50%,0,0-0,0%
5,-3,,0,1,1,1,1,22.73%,2,2,張伯維,45,張伯維,7,0,3,22.73%,23:29,4,1-4,25%,4,1-7,14.29%,0,0-0,0%
,,,,,,,,,,,邱柏璋,283,邱柏璋,14,,,,DNP,,,,,,,,,
22,-11,〇,3,1,0,10,24,47.5%,4,1,鐵米,280,鐵米,0,1,14,51.59%,41:44,14,8-14,57.14%,14,1-6,16.67%,3,3-3,100%
,,,,,,,,,,,林柏豪,281,林柏豪,1,,,,DNP,,,,,,,,,
2,5,,1,1,1,8,10,20%,3,1,張傑瑋,282,張傑瑋,2,0,11,20%,15:51,4,1-4,25%,4,0-1,0%,0,0-0,0%
0,-11,,0,0,0,0,-1,0%,0,1,林郅為,286,林郅為,18,0,0,0%,08:42,1,0-1,0%,1,0-0,0%,0,0-0,0%
7,2,〇,4,3,0,2,-1,26.92%,0,3,呂政儒,208,呂政儒,13,1,2,26.92%,31:07,5,2-5,40%,5,1-8,12.5%,0,0-0,0%
3,4,,0,0,0,2,0,18.75%,2,1,藍少甫,209,藍少甫,23,0,4,18.75%,14:08,4,0-4,0%,4,1-4,25%,0,0-0,0%
,,,,,,,,,,,林均濠,206,林均濠,11,,,,DNP,,,,,,,,,
4,-5,〇,2,7,1,7,12,14.29%,0,3,陳又瑋,204,陳又瑋,4,1,7,25.38%,35:39,5,1-5,20%,5,0-2,0%,2,2-2,100%
10,0,,1,0,0,0,7,71.43%,1,1,王律翔,211,王律翔,8,0,1,71.43%,18:48,3,2-3,66.67%,3,2-4,50%,0,0-0,0%
13,-11,〇,3,3,1,7,9,33.33%,1,1,哈里斯,258,哈里斯,3,1,8,34.43%,32:07,12,3-12,25%,12,2-6,33.33%,2,1-2,50%
