points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
19,-16,〇,2,3,0,4,18,54.55%,1,2,楊敬敏,87,楊敬敏,6,1,5,63.5%,29:34,7,3-7,42.86%,7,2-4,50%,9,7-9,77.78%
,,,,,,,,,,,林力仁,76,林力仁,7,,,,DNP,,,,,,,,,
15,-1,〇,2,11,2,2,17,32.5%,1,0,林書緯,41,林書緯,1,3,3,35.18%,36:06,14,5-14,35.71%,14,1-6,16.67%,3,2-3,66.67%
14,-13,〇,3,8,2,6,19,31.25%,0,5,曼尼高,337,曼尼高,55,5,6,38.46%,36:56,10,2-10,20%,10,2-6,33.33%,5,4-5,80%
9,-7,〇,1,0,0,1,7,56.25%,2,1,蘇士軒,290,蘇士軒,17,0,3,56.25%,12:19,5,3-5,60%,5,1-3,33.33%,0,0-0,0%
3,-1,,0,1,0,0,1,25%,1,3,林金榜,263,林金榜,19,0,1,30.74%,12:26,3,1-3,33.33%,3,0-1,0%,2,1-2,50%
24,7,,2,0,0,6,34,81.82%,8,5,戴維斯,69,戴維斯,50,1,14,87.98%,34:07,8,6-8,75%,8,2-3,66.67%,6,6-6,100%
8,6,,3,0,0,2,8,80%,2,2,陳俊男,232,陳俊男,3,0,4,80%,20:06,5,4-5,80%,5,0-0,0%,0,0-0,0%
0,3,,1,0,0,0,-2,0%,0,1,楊興治,228,楊興治,13,0,0,0%,03:21,1,0-1,0%,1,0-0,0%,0,0-0,0%
6,-4,,0,0,0,2,3,35.71%,0,4,簡祐哲,234,簡祐哲,10,1,2,38.07%,21:56,3,1-3,33.33%,3,1-4,25%,2,1-2,50%
,,,,,,,,,,,林仕軒,231,林仕軒,2,,,,DNP,,,,,,,,,
0,-12,〇,0,0,1,3,3,0%,0,3,聶歐瑪,238,聶歐瑪,25,0,3,0%,10:28,1,0-1,0%,1,0-0,0%,0,0-0,0%
12,8,,0,0,0,2,12,85.71%,0,2,洪志善,237,洪志善,24,1,2,85.71%,22:41,0,0-0,0%,0,4-7,57.14%,0,0-0,0%
