points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
11,-5,〇,1,4,0,2,9,42.31%,0,3,成力煥,72,成力煥,21,1,2,42.31%,28:06,9,4-9,44.44%,9,1-4,25%,0,0-0,0%
3,-2,,3,1,1,3,5,150%,0,0,陳冠全,67,陳冠全,15,0,3,150%,16:18,0,0-0,0%,0,1-1,100%,0,0-0,0%
8,-7,〇,0,3,0,2,9,44.44%,1,6,施晉堯,65,施晉堯,28,1,3,44.44%,29:05,3,1-3,33.33%,3,2-6,33.33%,0,0-0,0%
1,-3,,0,1,0,0,-1,0%,0,1,關達祐,58,關達祐,6,0,0,17.36%,10:28,1,0-1,0%,1,0-1,0%,2,1-2,50%
,,,,,,,,,,,林子洧,294,林子洧,5,,,,DNP,,,,,,,,,
20,-21,〇,2,4,0,8,25,52.78%,5,1,桑尼,296,桑尼,13,1,13,52.97%,36:21,8,5-8,62.5%,8,3-10,30%,2,1-2,50%
0,-2,〇,0,0,0,0,-3,0%,0,0,張鎮衙,297,張鎮衙,27,0,0,0%,08:45,1,0-1,0%,1,0-2,0%,0,0-0,0%
0,-3,,0,1,0,1,1,0%,0,0,白曜誠,298,白曜誠,30,0,1,0%,08:27,0,0-0,0%,0,0-1,0%,0,0-0,0%
25,-16,〇,4,4,0,3,28,65.79%,4,3,沃許本,299,沃許本,42,3,7,65.79%,43:59,15,11-15,73.33%,15,1-4,25%,0,0-0,0%
,,,,,,,,,,,林正,64,林正,25,,,,DNP,,,,,,,,,
3,2,,1,0,0,2,4,50%,1,2,黃泓瀚,221,黃泓瀚,22,1,3,50%,14:40,2,0-2,0%,2,1-1,100%,0,0-0,0%
0,3,,1,0,0,0,-1,0%,0,0,陳昱瑞,219,陳昱瑞,00,0,0,0%,05:00,0,0-0,0%,0,0-0,0%,0,0-0,0%
20,-11,,3,5,0,6,14,38.64%,0,2,盧峻翔,226,盧峻翔,69,2,6,42.09%,38:51,11,4-11,36.36%,11,3-11,27.27%,4,3-4,75%
