points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
4,-7,,0,0,0,0,3,66.67%,0,1,王柏智,89,王柏智,10,0,0,66.67%,09:15,2,2-2,100%,2,0-1,0%,0,0-0,0%
12,-9,〇,1,1,0,4,9,46.15%,1,2,張伯維,45,張伯維,7,0,5,46.15%,27:24,4,3-4,75%,4,2-9,22.22%,0,0-0,0%
,,,,,,,,,,,邱柏璋,283,邱柏璋,14,,,,DNP,,,,,,,,,
3,-13,〇,3,1,0,2,-6,15%,0,1,周儀翔,262,周儀翔,6,0,2,15%,30:17,6,0-6,0%,6,1-4,25%,0,0-0,0%
30,-14,〇,3,4,3,9,40,56.82%,6,2,鈦強,339,鈦強,9,3,15,59.81%,44:47,19,11-19,57.89%,19,1-3,33.33%,7,5-7,71.43%
16,-9,〇,0,0,1,9,19,30.77%,3,1,鐵米,280,鐵米,0,0,12,48.43%,36:00,6,1-6,16.67%,6,2-7,28.57%,8,8-8,100%
3,0,,0,0,0,0,3,150%,0,0,林柏豪,281,林柏豪,1,0,0,150%,02:35,0,0-0,0%,0,1-1,100%,0,0-0,0%
0,-8,,2,3,0,1,3,0%,1,3,張傑瑋,282,張傑瑋,2,0,2,0%,08:33,0,0-0,0%,0,0-0,0%,0,0-0,0%
4,-6,,0,0,0,1,6,100%,0,1,呂政儒,208,呂政儒,13,1,1,100%,16:07,2,2-2,100%,2,0-0,0%,0,0-0,0%
0,-4,,0,0,0,0,-1,0%,0,0,藍少甫,209,藍少甫,23,0,0,0%,05:58,1,0-1,0%,1,0-0,0%,0,0-0,0%
3,-10,〇,3,7,2,7,10,21.43%,0,2,陳又瑋,204,陳又瑋,4,0,7,21.43%,40:25,3,0-3,0%,3,1-4,25%,0,0-0,0%
8,-5,,3,1,0,0,1,44.44%,1,5,王律翔,211,王律翔,8,0,1,44.44%,18:39,3,1-3,33.33%,3,2-6,33.33%,0,0-0,0%
,,,,,,,,,,,楊浩之,210,楊浩之,30,,,,DNP,,,,,,,,,
