points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
0,-8,,0,1,0,0,0,0%,1,1,成力煥,72,成力煥,21,0,1,0%,06:43,1,0-1,0%,1,0-1,0%,0,0-0,0%
7,17,,0,0,3,2,12,58.33%,1,1,陳冠全,67,陳冠全,15,2,3,58.33%,18:04,4,2-4,50%,4,1-2,50%,0,0-0,0%
8,27,〇,2,7,0,4,11,27.27%,2,2,施晉堯,65,施晉堯,28,0,6,33.67%,32:22,7,3-7,42.86%,7,0-4,0%,2,2-2,100%
0,0,,0,1,0,0,1,0%,0,0,關達祐,58,關達祐,6,0,0,0%,03:49,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,4,,0,0,0,0,-1,0%,0,0,林子洧,294,林子洧,5,0,0,0%,01:40,0,0-0,0%,0,0-1,0%,0,0-0,0%
21,19,〇,4,2,3,12,28,56.67%,3,4,桑尼,296,桑尼,13,0,15,59.52%,31:01,12,7-12,58.33%,12,1-3,33.33%,6,4-6,66.67%
3,-3,,0,0,0,1,3,75%,0,0,張鎮衙,297,張鎮衙,27,0,1,75%,04:43,0,0-0,0%,0,1-2,50%,0,0-0,0%
10,19,,0,5,1,4,15,41.67%,3,1,白曜誠,298,白曜誠,30,0,7,41.67%,28:42,6,2-6,33.33%,6,2-6,33.33%,0,0-0,0%
16,8,,1,1,0,6,23,80%,3,5,沃許本,299,沃許本,42,0,9,80%,18:37,10,8-10,80%,10,0-0,0%,0,0-0,0%
4,14,〇,0,1,1,4,5,33.33%,1,4,林正,64,林正,25,0,5,29.07%,25:03,6,2-6,33.33%,6,0-0,0%,2,0-2,0%
18,39,〇,2,11,0,10,35,56.25%,4,4,黃泓瀚,221,黃泓瀚,22,3,14,56.25%,38:34,8,3-8,37.5%,8,4-8,50%,0,0-0,0%
,,,,,,,,,,,陳昱瑞,219,陳昱瑞,00,,,,DNP,,,,,,,,,
21,14,〇,2,4,0,4,16,47.73%,1,3,盧峻翔,226,盧峻翔,69,2,5,47.73%,30:42,6,3-6,50%,6,5-16,31.25%,0,0-0,0%
