points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
18,1,1531,,0,1,0,1,20,75%,3,1,2,3,,陳振傑,148,,0,,3,3,3,3,76.5%,3,1,19.7%,25:31,4,3-4,75%,6,3-6,50%,4,3-4,75%
11,-15,1306,,3,0,0,0,2,50%,1,0,0,3,,楊敬敏,87,,6,,0,2,5,0,52.7%,2,1,26.8%,21:46,3,2-3,66.7%,7,2-7,28.6%,1,1-1,100%
,,,,,,,,,,,,,,,王柏智,89,,10,,,,,,,,,,DNP,,,,,,,,,
12,-5,2389,〇,1,4,0,1,9,50%,0,0,1,3,,林俊吉,90,,11,,0,4,6,2,50%,0,2,14%,39:49,2,0-2,0%,10,4-10,40%,0,0-0,0%
38,7,2494,〇,5,5,1,6,38,63.5%,5,0,3,4,,杰倫,91,,12,,3,7,6,9,67.4%,6,7,33.9%,41:34,13,6-13,46.2%,13,7-13,53.8%,5,5-5,100%
,,,,,,,,,,,,,,,譚傑龍,92,,13,,,,,,,,,,DNP,,,,,,,,,
11,-17,1955,〇,5,1,0,11,17,39.3%,0,0,5,1,,希克斯,154,,17,,3,1,7,16,39.3%,4,2,24.9%,32:35,6,4-6,66.7%,8,1-8,12.5%,0,0-0,0%
,,,,,,,,,,,,,,,金德偉,150,,20,,,,,,,,,,DNP,,,,,,,,,
9,-10,1552,〇,0,2,0,1,12,80%,1,0,0,3,,錢肯尼,149,,23,,1,0,0,1,82.7%,4,1,9.1%,25:52,5,4-5,80%,0,0-0,0%,1,1-1,100%
3,-2,970,,1,0,0,3,0,0%,3,1,0,4,,忻沃克,155,Randall Walko,24,,0,0,4,3,26%,0,0,17.7%,16:10,0,0-0,0%,4,0-4,0%,4,3-4,75%
2,-9,2203,〇,2,4,2,4,6,10%,0,0,4,5,,李德威,94,,26,,1,0,3,8,10%,1,6,14%,36:43,7,1-7,14.3%,3,0-3,0%,0,0-0,0%
,,,,,,,,,,,,,,,吳松蔚,95,,30,,,,,,,,,,DNP,,,,,,,,,
