points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
2,0,820,,3,2,0,2,4,50%,0,0,0,3,,賴廷恩,40,,0,,2,0,1,2,50%,1,0,16.3%,13:40,1,1-1,100%,1,0-1,0%,0,0-0,0%
4,10,780,,2,1,1,0,5,40%,0,0,2,2,,林書緯,41,,1,,2,0,2,2,40%,2,1,22.9%,13:00,3,2-3,66.7%,2,0-2,0%,0,0-0,0%
14,18,1370,〇,2,3,0,5,18,77.8%,0,0,1,0,,簡偉儒,42,,2,,1,4,3,6,77.8%,1,1,21.2%,22:50,2,1-2,50%,7,4-7,57.1%,0,0-0,0%
17,16,2306,〇,0,3,0,0,6,34.1%,2,0,1,2,,張宗憲,43,,3,,1,3,6,1,37.2%,3,10,25.6%,38:26,13,3-13,23.1%,9,3-9,33.3%,2,2-2,100%
3,6,815,,0,0,0,2,3,50%,0,0,0,1,,周桂羽,46,,8,,0,1,1,2,50%,0,1,9.8%,13:35,1,0-1,0%,2,1-2,50%,0,0-0,0%
4,18,1607,,0,2,0,4,6,33.3%,0,2,1,1,,林孟學,49,,13,,1,0,0,5,29.1%,2,4,11.2%,26:47,6,2-6,33.3%,0,0-0,0%,2,0-2,0%
4,3,623,,0,1,0,1,5,66.7%,0,0,0,1,,蔡文誠,50,,14,,0,0,1,1,66.7%,2,0,12.7%,10:23,2,2-2,100%,1,0-1,0%,0,0-0,0%
27,28,1926,〇,3,6,0,5,34,70%,6,0,3,2,,辛特力,51,,17,,1,1,2,8,76.5%,9,3,27.4%,32:06,12,9-12,75%,3,1-3,33.3%,6,6-6,100%
8,-6,1205,,0,1,2,4,14,57.1%,0,1,2,2,,曾祥鈞,52,,21,,1,0,1,6,53.8%,4,2,15.8%,20:05,6,4-6,66.7%,1,0-1,0%,1,0-1,0%
6,3,928,,1,0,0,3,7,37.5%,0,0,4,2,,石博恩,53,,23,,0,0,1,7,37.5%,3,4,25.5%,15:28,7,3-7,42.9%,1,0-1,0%,0,0-0,0%
22,32,1851,〇,3,1,2,14,37,81.8%,4,1,4,0,,塞瑟夫,54,,32,,1,2,1,18,83.3%,6,2,22.9%,30:51,8,6-8,75%,3,2-3,66.7%,5,4-5,80%
0,7,169,〇,1,0,0,1,0,0%,0,0,0,1,,曾文鼎,56,,76,,0,0,0,1,0%,0,0,21.2%,02:49,0,0-0,0%,0,0-0,0%,0,0-0,0%
