points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
4,5,775,,2,2,0,2,10,100%,0,0,0,0,,賴廷恩,40,,0,,4,0,0,2,100%,2,0,14.8%,12:55,2,2-2,100%,0,0-0,0%,0,0-0,0%
2,7,578,,2,2,0,0,2,0%,2,0,0,1,,林書緯,41,,1,,1,0,0,0,53.2%,0,1,19.2%,09:38,1,0-1,0%,0,0-0,0%,2,2-2,100%
19,16,1264,,1,1,0,2,17,81.3%,6,2,0,0,,簡偉儒,42,,2,,1,3,1,2,82.5%,2,2,26.5%,21:04,4,2-4,50%,4,3-4,75%,8,6-8,75%
8,7,1668,〇,0,6,0,4,5,25%,1,3,0,1,,張宗憲,43,,3,,1,1,3,4,25.4%,2,8,25.9%,27:48,10,2-10,20%,4,1-4,25%,4,1-4,25%
10,4,1407,〇,2,3,0,3,10,55.6%,0,1,1,1,,林志傑,48,,12,,1,2,3,4,53%,2,2,22.1%,23:27,4,2-4,50%,5,2-5,40%,1,0-1,0%
1,2,700,,1,1,0,0,0,0%,1,1,0,1,,林孟學,49,,13,,1,0,1,0,26.6%,0,0,11.6%,11:40,0,0-0,0%,1,0-1,0%,2,1-2,50%
14,10,1563,,1,0,0,2,14,72.2%,1,0,2,0,,蔡文誠,50,,14,,0,1,0,4,74.2%,5,3,17.8%,26:03,8,5-8,62.5%,1,1-1,100%,1,1-1,100%
2,14,1396,〇,2,3,0,5,3,9.1%,0,0,3,2,,辛特力,51,,17,,2,0,4,8,9.1%,1,6,25.1%,23:16,7,1-7,14.3%,4,0-4,0%,0,0-0,0%
7,12,2071,〇,2,1,1,8,11,37.5%,1,1,2,2,,曾祥鈞,52,,21,,0,0,0,10,39.4%,3,5,14.2%,34:31,8,3-8,37.5%,0,0-0,0%,2,1-2,50%
0,4,323,,1,0,0,0,-2,0%,0,0,1,1,,石博恩,53,,23,,0,0,1,1,0%,0,1,26.7%,05:23,1,0-1,0%,1,0-1,0%,0,0-0,0%
17,18,2073,〇,0,1,0,11,29,53.8%,3,0,5,5,,賈西亞,55,,36,,1,0,0,16,59.4%,7,6,18.7%,34:33,13,7-13,53.8%,0,0-0,0%,3,3-3,100%
3,1,582,,1,2,0,3,4,25%,1,1,0,1,,曾文鼎,56,,76,,1,0,3,3,30.7%,1,0,29%,09:42,1,1-1,100%,3,0-3,0%,2,1-2,50%
