points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
3,1,455,,0,0,0,0,1,50%,0,0,0,1,,陳振傑,148,,0,,0,1,1,0,50%,0,1,19.3%,07:35,1,0-1,0%,2,1-2,50%,0,0-0,0%
41,-10,2782,〇,3,9,0,7,42,59.7%,4,1,2,1,,塔克,86,,2,,3,7,10,9,61.7%,8,6,35.4%,46:22,14,8-14,57.1%,17,7-17,41.2%,5,4-5,80%
4,-4,1329,〇,0,4,0,0,2,21.4%,1,1,0,1,,楊敬敏,87,,6,,1,1,5,0,25.4%,0,1,16.1%,22:09,1,0-1,0%,6,1-6,16.7%,2,1-2,50%
0,-3,188,,2,0,1,0,-1,0%,0,0,0,3,,王柏智,89,,10,,0,0,0,0,0%,0,0,30%,03:08,0,0-0,0%,0,0-0,0%,0,0-0,0%
11,-5,1086,,2,0,0,0,10,90%,2,0,2,1,,林俊吉,90,,11,,0,1,1,2,93.5%,3,0,19.7%,18:06,3,3-3,100%,2,1-2,50%,2,2-2,100%
11,7,1869,〇,2,3,0,4,13,27.3%,5,1,1,5,,杰倫,91,,12,,5,0,2,5,40.3%,3,6,22.7%,31:09,9,3-9,33.3%,2,0-2,0%,6,5-6,83.3%
,,,,,,,,,,,,,,,譚傑龍,92,,13,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,楊盛硯,93,,18,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,金德偉,150,,20,,,,,,,,,,DNP,,,,,,,,,
17,-12,2612,〇,2,2,0,1,15,66.7%,5,2,2,3,,錢肯尼,149,,23,,0,0,1,3,70.4%,6,2,14.7%,43:32,8,6-8,75%,1,0-1,0%,7,5-7,71.4%
6,-3,1530,,0,2,0,4,10,42.9%,0,0,1,2,,忻沃克,155,Randall Walko,24,,2,2,4,5,42.9%,0,1,12.6%,25:30,1,0-1,0%,6,2-6,33.3%,0,0-0,0%
12,-6,2549,〇,1,2,0,8,17,50%,0,0,2,3,,李德威,94,,26,,1,2,4,10,50%,3,3,13.9%,42:29,6,3-6,50%,6,2-6,33.3%,0,0-0,0%
