points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
0,-8,296,,1,1,0,0,-1,0%,0,0,0,1,,賴廷恩,40,,0,,0,0,1,0,0%,0,0,19.8%,04:56,0,0-0,0%,1,0-1,0%,0,0-0,0%
2,-1,2027,,3,8,0,4,6,11.1%,0,2,2,1,,林書緯,41,,1,,3,0,4,6,10.1%,1,4,15.5%,33:47,5,1-5,20%,4,0-4,0%,2,0-2,0%
8,-10,1102,〇,0,2,0,2,8,50%,0,0,0,0,,簡偉儒,42,,2,,1,2,3,2,50%,1,2,17.6%,18:22,3,1-3,33.3%,5,2-5,40%,0,0-0,0%
16,-5,2079,〇,4,1,0,1,0,30%,4,2,1,2,,張宗憲,43,,3,,1,0,3,2,35.3%,6,11,31%,34:39,17,6-17,35.3%,3,0-3,0%,6,4-6,66.7%
0,-1,282,,0,0,0,0,-1,0%,0,0,0,0,,周桂羽,46,,8,,0,0,0,0,0%,0,1,9.9%,04:42,1,0-1,0%,0,0-0,0%,0,0-0,0%
0,-8,582,,0,1,0,0,-3,0%,0,2,0,0,,郭少傑,47,,9,,0,0,2,0,0%,0,0,12.7%,09:42,0,0-0,0%,2,0-2,0%,2,0-2,0%
6,2,1493,,1,0,0,3,6,50%,0,0,0,0,,林孟學,49,,13,,1,0,0,3,50%,3,3,11.6%,24:53,6,3-6,50%,0,0-0,0%,0,0-0,0%
0,-9,372,,0,1,0,1,3,0%,0,2,1,1,,蔡文誠,50,,14,,2,0,0,2,0%,0,0,5.8%,06:12,0,0-0,0%,0,0-0,0%,2,0-2,0%
28,-4,2117,〇,3,4,0,7,30,47.9%,5,1,7,0,,辛特力,51,,17,,2,3,2,14,52.6%,7,12,33.5%,35:17,19,7-19,36.8%,5,3-5,60%,6,5-6,83.3%
6,-15,1484,〇,0,1,0,2,6,50%,0,4,4,4,,曾祥鈞,52,,21,,0,0,0,6,38.7%,3,3,12.8%,24:44,6,3-6,50%,0,0-0,0%,4,0-4,0%
2,-2,164,,1,0,0,2,4,100%,0,0,1,1,,石博恩,53,,23,,0,0,0,3,100%,1,0,39.6%,02:44,1,1-1,100%,0,0-0,0%,0,0-0,0%
14,-14,2402,〇,5,1,3,5,14,29.2%,7,1,5,4,,塞瑟夫,54,,32,,1,1,2,10,45.1%,2,7,20.3%,40:02,9,2-9,22.2%,3,1-3,33.3%,8,7-8,87.5%
