points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
3,-2,347,,0,0,0,1,4,150%,0,0,0,0,,賴廷恩,40,,0,,0,1,0,1,150%,0,0,8.6%,05:47,0,0-0,0%,1,1-1,100%,0,0-0,0%
2,-2,1003,,2,2,0,2,2,0%,2,0,0,2,,林書緯,41,,1,,1,0,2,2,25.8%,0,1,15.8%,16:43,1,0-1,0%,2,0-2,0%,2,2-2,100%
7,-8,1284,〇,3,1,0,0,2,50%,4,2,0,1,,簡偉儒,42,,2,,1,1,1,0,62.1%,0,1,17.6%,21:24,1,0-1,0%,2,1-2,50%,6,4-6,66.7%
8,-19,1804,〇,2,3,0,2,5,27.3%,2,2,1,1,,張宗憲,43,,3,,3,0,3,3,31.3%,3,5,21.1%,30:04,8,3-8,37.5%,3,0-3,0%,4,2-4,50%
10,6,518,,1,0,0,1,8,70%,3,0,0,0,,張伯維,45,,7,,0,1,1,1,79.1%,2,1,39.2%,08:38,3,2-3,66.7%,2,1-2,50%,3,3-3,100%
0,0,172,,1,0,0,0,-1,0%,0,0,0,0,,周桂羽,46,,8,,0,0,0,0,0%,0,0,21.4%,02:52,0,0-0,0%,0,0-0,0%,0,0-0,0%
7,3,1756,〇,0,4,0,6,9,21.4%,1,0,2,3,,林志傑,48,,12,,1,0,8,8,24.2%,3,3,21.3%,29:16,6,3-6,50%,8,0-8,0%,1,1-1,100%
9,-5,1756,,3,0,0,5,8,40.9%,0,0,3,4,,蔡文誠,50,,14,,1,1,3,8,40.9%,3,4,20.7%,29:16,7,3-7,42.9%,4,1-4,25%,0,0-0,0%
8,3,1400,,0,1,1,5,16,66.7%,0,0,2,2,,曾祥鈞,52,,21,,1,0,0,7,66.7%,4,2,11.2%,23:20,6,4-6,66.7%,0,0-0,0%,0,0-0,0%
,,,,,,,,,,,,,,,石博恩,53,,23,,,,,,,,,,DNP,,,,,,,,,
9,-3,2213,〇,9,4,1,5,10,56.3%,0,0,3,4,,塞瑟夫,54,,32,,1,1,0,8,56.3%,3,4,20.2%,36:53,7,3-7,42.9%,1,1-1,100%,0,0-0,0%
28,-18,2147,〇,3,1,0,7,31,66.7%,8,1,4,4,,賈西亞,55,,36,,0,0,0,11,73.8%,10,5,26.9%,35:47,15,10-15,66.7%,0,0-0,0%,9,8-9,88.9%
