points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
16,6,2149,〇,4,2,0,5,15,57.7%,1,2,4,4,,楊敬敏,87,,6,,1,3,6,9,55.9%,3,1,21.2%,35:49,4,3-4,75%,9,3-9,33.3%,3,1-3,33.3%
0,-4,405,,0,0,0,2,1,0%,0,0,0,0,,王柏智,89,,10,,0,0,0,2,0%,0,1,6.8%,06:45,1,0-1,0%,0,0-0,0%,0,0-0,0%
0,-6,220,,0,1,0,0,1,0%,0,0,0,0,,林俊吉,90,,11,,0,0,0,0,0%,0,0,0%,03:40,0,0-0,0%,0,0-0,0%,0,0-0,0%
20,-9,2246,〇,3,4,0,9,18,36.4%,4,4,2,4,,杰倫,91,,12,,5,2,7,11,39.2%,5,8,31.3%,37:26,13,5-13,38.5%,9,2-9,22.2%,8,4-8,50%
0,0,256,,1,0,1,0,0,0%,0,0,0,1,,譚傑龍,92,,13,,0,0,0,0,0%,0,0,10.1%,04:16,0,0-0,0%,0,0-0,0%,0,0-0,0%
16,1,2306,〇,0,2,1,3,11,30.4%,2,2,3,1,,希克斯,154,,17,,4,0,6,6,32.3%,7,10,26.4%,38:26,17,7-17,41.2%,6,0-6,0%,4,2-4,50%
2,-21,1131,,0,4,0,0,-1,12.5%,0,0,0,1,,楊盛硯,93,,18,,0,0,4,0,12.5%,1,3,18%,18:51,4,1-4,25%,4,0-4,0%,0,0-0,0%
,,,,,,,,,,,,,,,金德偉,150,,20,,,,,,,,,,DNP,,,,,,,,,
10,12,1388,,1,2,1,3,14,44.4%,2,0,2,4,,錢肯尼,149,,23,,3,2,1,5,50.6%,1,5,19.2%,23:08,6,1-6,16.7%,3,2-3,66.7%,2,2-2,100%
12,3,1983,,0,2,1,7,15,36.7%,1,1,5,3,,忻沃克,155,Randall Walko,24,,0,3,8,12,37.8%,1,3,19.5%,33:03,4,1-4,25%,11,3-11,27.3%,2,1-2,50%
5,-9,1489,〇,1,1,3,3,11,62.5%,0,0,2,5,,李德威,94,,26,,0,1,0,5,62.5%,1,2,8.4%,24:49,3,1-3,33.3%,1,1-1,100%,0,0-0,0%
3,2,827,〇,0,0,0,2,2,30%,0,0,1,1,,吳松蔚,95,,30,,0,1,4,3,30%,0,0,15.6%,13:47,0,0-0,0%,5,1-5,20%,0,0-0,0%
