points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
,,,,,,,,,,,,,,,陳振傑,148,,0,,,,,,,,,,DNP,,,,,,,,,
42,6,2702,〇,7,7,2,5,37,56.7%,8,2,3,2,,塔克,86,,2,,2,4,11,8,61%,11,4,42%,45:02,15,11-15,73.3%,15,4-15,26.7%,10,8-10,80%
10,-7,1617,〇,2,4,0,1,13,112.5%,1,1,0,2,,楊敬敏,87,,6,,2,3,1,1,102.5%,0,0,12.1%,26:57,0,0-0,0%,4,3-4,75%,2,1-2,50%
0,-4,405,,1,0,0,0,-2,0%,0,0,0,1,,王柏智,89,,10,,0,0,0,0,0%,0,1,15.2%,06:45,1,0-1,0%,0,0-0,0%,0,0-0,0%
20,11,1733,,2,3,0,2,22,116.7%,6,1,0,1,,林俊吉,90,,11,,1,4,0,2,110.1%,1,1,18%,28:53,2,1-2,50%,4,4-4,100%,7,6-7,85.7%
21,-9,1981,〇,0,1,0,4,23,50%,0,0,2,2,,杰倫,91,,12,,8,5,7,6,50%,3,6,29%,33:01,9,3-9,33.3%,12,5-12,41.7%,0,0-0,0%
,,,,,,,,,,,,,,,楊盛硯,93,,18,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,金德偉,150,,20,,,,,,,,,,DNP,,,,,,,,,
2,1,1422,〇,2,0,1,1,0,33.3%,0,0,0,3,,錢肯尼,149,,23,,0,0,1,1,33.3%,1,1,9.9%,23:42,2,1-2,50%,1,0-1,0%,0,0-0,0%
5,10,2065,,0,0,1,5,8,40%,1,1,1,3,,忻沃克,155,Randall Walko,24,,0,0,2,6,42.5%,2,1,7.9%,34:25,3,2-3,66.7%,2,0-2,0%,2,1-2,50%
2,7,2475,〇,3,2,0,10,4,11.1%,0,0,1,4,,李德威,94,,26,,0,0,3,11,11.1%,1,5,13.3%,41:15,6,1-6,16.7%,3,0-3,0%,0,0-0,0%
,,,,,,,,,,,,,,,吳松蔚,95,,30,,,,,,,,,,DNP,,,,,,,,,
