points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
39,1,2746,〇,5,4,0,7,23,44.1%,9,6,4,4,,里德,57,,5,,2,6,12,11,48%,6,10,39.1%,45:46,16,6-16,37.5%,18,6-18,33.3%,15,9-15,60%
0,4,402,,2,0,0,1,-1,0%,0,0,0,1,,關達祐,58,,6,G,0,0,0,1,0%,0,0,12.9%,06:42,0,0-0,0%,0,0-0,0%,0,0-0,0%
4,-1,994,,1,0,0,4,4,33.3%,0,0,0,1,,林耀宗,59,,7,G,1,0,2,4,33.3%,2,2,16.9%,16:34,4,2-4,50%,2,0-2,0%,0,0-0,0%
,,,,,,,,,,,,,,,孫思堯,62,,15,,,,,,,,,,DNP,,,,,,,,,
,,,,,,,,,,,,,,,賴國維,147,,18,,,,,,,,,,DNP,,,,,,,,,
3,-17,901,,0,3,0,0,4,33.3%,1,1,0,4,,陳靖寰,63,,23,G,1,0,2,0,38.7%,1,0,10%,15:01,1,1-1,100%,2,0-2,0%,2,1-2,50%
0,-8,1361,〇,1,2,0,3,-2,0%,0,0,0,5,,施晉堯,65,,28,G,0,0,5,3,0%,0,1,12.3%,22:41,1,0-1,0%,5,0-5,0%,0,0-0,0%
4,14,1385,,1,1,0,2,-2,14.3%,2,3,1,2,,張耕淯,66,,29,,0,0,3,3,21.7%,1,3,17.1%,23:05,4,1-4,25%,3,0-3,0%,5,2-5,40%
5,-16,910,,1,0,0,2,5,50%,1,0,1,1,,陳冠全,67,,30,G,0,0,1,3,56.3%,2,1,14%,15:10,3,2-3,66.7%,1,0-1,0%,1,1-1,100%
18,-12,1826,〇,3,0,1,5,17,50%,1,2,5,1,,傑克,68,,40,,2,1,2,10,49.1%,7,7,27.4%,30:26,14,7-14,50%,3,1-3,33.3%,3,1-3,33.3%
18,8,2275,〇,2,1,2,5,31,64.3%,0,2,10,2,,戴維斯,69,,50,,4,0,1,15,60.5%,9,4,17.6%,37:55,13,9-13,69.2%,1,0-1,0%,2,0-2,0%
0,-3,1600,〇,4,4,0,4,5,0%,0,0,1,2,,彭俊諺,70,,63,G,1,0,0,5,0%,0,1,7.4%,26:40,1,0-1,0%,0,0-0,0%,0,0-0,0%
