points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
2,-3,463,,1,1,0,2,4,33.3%,0,0,1,0,,賴廷恩,40,,0,,1,0,1,3,33.3%,1,1,23.4%,07:43,2,1-2,50%,1,0-1,0%,0,0-0,0%
6,11,1660,,0,4,0,3,3,20.8%,1,1,1,2,,簡偉儒,42,,2,,0,1,6,4,23.3%,1,4,19.5%,27:40,5,1-5,20%,7,1-7,14.3%,2,1-2,50%
34,14,2299,〇,0,0,0,1,34,76.2%,2,0,2,1,,張宗憲,43,,3,,5,6,5,3,77.7%,7,3,23.6%,38:19,10,7-10,70%,11,6-11,54.5%,2,2-2,100%
0,-1,126,,0,0,0,0,-1,0%,0,0,0,0,,張伯維,45,,7,,0,0,1,0,0%,0,0,20.5%,02:06,0,0-0,0%,1,0-1,0%,0,0-0,0%
0,-5,116,,0,0,0,0,0,0%,0,0,0,1,,周桂羽,46,,8,,0,0,0,0,0%,0,0,0%,01:56,0,0-0,0%,0,0-0,0%,0,0-0,0%
12,-6,1467,〇,4,2,0,5,11,50%,0,0,1,1,,林志傑,48,,12,,2,2,5,6,50%,3,2,27.3%,24:27,5,3-5,60%,7,2-7,28.6%,0,0-0,0%
2,-8,399,,1,0,0,0,1,50%,0,0,0,0,,林孟學,49,,13,,1,0,1,0,50%,1,0,20.5%,06:39,1,1-1,100%,1,0-1,0%,0,0-0,0%
2,-8,1034,〇,1,0,0,2,-1,12.5%,0,0,2,2,,蔡文誠,50,,14,,1,0,0,4,12.5%,1,7,21.7%,17:14,8,1-8,12.5%,0,0-0,0%,0,0-0,0%
9,-2,2082,〇,4,4,1,8,14,18.2%,5,1,6,2,,辛特力,51,,17,,0,0,5,14,33%,2,4,21.3%,34:42,6,2-6,33.3%,5,0-5,0%,6,5-6,83.3%
0,20,1128,,2,0,2,1,5,0%,0,0,4,0,,曾祥鈞,52,,21,,0,0,0,5,0%,0,0,4.6%,18:48,0,0-0,0%,0,0-0,0%,0,0-0,0%
7,9,1570,,2,0,2,5,8,35%,0,0,1,1,,石博恩,53,,23,,2,1,6,6,35%,2,1,18.9%,26:10,3,2-3,66.7%,7,1-7,14.3%,0,0-0,0%
15,-6,2056,〇,6,1,0,9,18,60%,3,1,4,5,,塞瑟夫,54,,32,,0,0,1,13,63.8%,6,3,21.4%,34:16,9,6-9,66.7%,1,0-1,0%,4,3-4,75%
