points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
22,0,2535,〇,3,8,0,4,27,55.9%,3,0,2,0,,塔克,86,,2,,3,3,6,6,60%,5,3,25.1%,42:15,8,5-8,62.5%,9,3-9,33.3%,3,3-3,100%
19,0,2499,〇,1,2,0,5,14,37.5%,7,2,0,4,,楊敬敏,87,,6,,1,0,5,5,47.6%,6,5,25.3%,41:39,11,6-11,54.5%,5,0-5,0%,9,7-9,77.8%
0,-9,241,,0,0,0,1,1,0%,0,0,0,0,,王柏智,89,,10,,0,0,0,1,0%,0,0,0%,04:01,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,-4,345,,0,0,0,1,-1,0%,0,0,0,0,,林俊吉,90,,11,,0,0,1,1,0%,0,1,19.8%,05:45,1,0-1,0%,1,0-1,0%,0,0-0,0%
20,0,2160,〇,4,6,0,5,26,59.4%,1,1,2,3,,杰倫,91,,12,,5,1,3,7,59.2%,8,4,28.7%,36:00,12,8-12,66.7%,4,1-4,25%,2,1-2,50%
6,8,1441,,0,0,0,0,4,75%,0,0,0,2,,譚傑龍,92,,13,,0,2,1,0,75%,0,1,8.2%,24:01,1,0-1,0%,3,2-3,66.7%,0,0-0,0%
0,-6,1099,〇,0,1,0,1,-1,0%,0,0,0,0,,楊盛硯,93,,18,,1,0,2,1,0%,0,2,11%,18:19,2,0-2,0%,2,0-2,0%,0,0-0,0%
0,-4,291,,0,0,0,0,-2,0%,0,0,0,0,,金德偉,150,,20,,1,0,1,0,0%,0,2,37.1%,04:51,2,0-2,0%,1,0-1,0%,0,0-0,0%
,,,,,,,,,,,,,,,錢肯尼,149,,23,,,,,,,,,,DNP,,,,,,,,,
3,-10,1150,,2,1,0,0,-1,30%,0,0,0,3,,忻沃克,155,Randall Walko,24,,1,1,2,0,30%,0,2,18.2%,19:10,2,0-2,0%,3,1-3,33.3%,0,0-0,0%
16,5,2639,〇,0,1,1,9,24,53.8%,2,0,3,5,,李德威,94,,26,,1,2,0,12,57.6%,4,7,16%,43:59,11,4-11,36.4%,2,2-2,100%,2,2-2,100%
,,,,,,,,,,,,,,,吳松蔚,95,,30,,,,,,,,,,DNP,,,,,,,,,
