points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
10,-2,1045,,4,3,0,1,9,50%,3,1,2,3,,關達祐,58,,6,G,2,1,3,3,57.1%,2,1,28.5%,17:25,3,2-3,66.7%,4,1-4,25%,4,3-4,75%
10,-5,1736,,5,1,0,6,2,30.8%,2,3,1,1,,林耀宗,59,,7,G,1,0,2,7,32.9%,4,7,27.4%,28:56,11,4-11,36.4%,2,0-2,0%,5,2-5,40%
21,-18,1892,〇,1,2,0,3,18,60%,3,0,0,0,,喬登,158,Jordan Chatman,12,,2,6,6,3,64.3%,0,3,21.2%,31:32,3,0-3,0%,12,6-12,50%,3,3-3,100%
4,-2,1111,,1,1,0,4,9,50%,0,0,3,3,,孫思堯,62,,15,G,0,0,0,7,50%,2,2,10.5%,18:31,4,2-4,50%,0,0-0,0%,0,0-0,0%
,,,,,,,,,,,,,,,賴國維,147,,18,,,,,,,,,,DNP,,,,,,,,,
5,6,604,,2,2,0,2,6,62.5%,0,0,1,1,,陳靖寰,63,,23,G,0,1,2,3,62.5%,1,0,22.8%,10:04,1,1-1,100%,3,1-3,33.3%,0,0-0,0%
2,-10,961,,1,0,1,5,8,25%,0,0,4,6,,林正,64,,25,,0,0,0,9,25%,1,3,11.9%,16:01,4,1-4,25%,0,0-0,0%,0,0-0,0%
11,-13,1733,〇,3,6,0,4,13,45.5%,1,0,1,2,,施晉堯,65,,28,G,1,2,4,5,48.1%,2,3,19.6%,28:53,5,2-5,40%,6,2-6,33.3%,1,1-1,100%
14,-1,1135,,1,0,0,1,7,42.3%,3,0,0,0,,張耕淯,66,,29,,1,1,4,1,48.9%,4,4,32.3%,18:55,8,4-8,50%,5,1-5,20%,3,3-3,100%
6,-14,1576,〇,0,0,0,2,6,42.9%,0,0,2,0,,陳冠全,67,,30,G,1,2,3,4,42.9%,0,2,10.2%,26:16,2,0-2,0%,5,2-5,40%,0,0-0,0%
8,-17,1319,〇,5,0,0,10,9,36.4%,0,1,3,1,,傑克,68,,40,,1,0,2,13,35%,4,5,29.7%,21:59,9,4-9,44.4%,2,0-2,0%,1,0-1,0%
2,-4,1288,〇,2,3,1,2,5,20%,0,0,2,3,,彭俊諺,70,,63,G,1,0,2,4,20%,1,2,12.7%,21:28,3,1-3,33.3%,2,0-2,0%,0,0-0,0%
