points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
0,1,166,,0,0,0,1,0,0%,0,0,0,0,,蕭順議,80,,1,,0,0,0,1,0%,0,1,21%,02:46,1,0-1,0%,0,0-0,0%,0,0-0,0%
0,13,188,,0,1,0,0,2,0%,0,0,1,0,,鄭瑋,77,,2,,0,0,0,1,0%,0,0,0%,03:08,0,0-0,0%,0,0-0,0%,0,0-0,0%
4,14,1733,,1,4,0,2,10,33.3%,0,0,3,4,,林明毅,156,,3,,2,0,2,5,33.3%,2,2,10.5%,28:53,4,2-4,50%,2,0-2,0%,0,0-0,0%
6,0,2091,〇,0,2,0,6,-2,6.3%,4,4,1,4,,高國豪,84,,4,,2,0,2,7,15.4%,1,13,24.1%,34:51,14,1-14,7.1%,2,0-2,0%,8,4-8,50%
,,,,,,,,,,,,,,,林力仁,76,,7,,,,,,,,,,DNP,,,,,,,,,
3,-4,1229,,1,2,0,2,4,37.5%,0,0,1,3,,潘冠翰,74,,11,,0,1,0,3,37.5%,0,3,10.5%,20:29,3,0-3,0%,1,1-1,100%,0,0-0,0%
5,4,1223,,5,2,0,3,3,66.7%,1,1,0,0,,李家瑞,79,,12,,0,0,1,3,64.4%,2,0,18.7%,20:23,2,2-2,100%,1,0-1,0%,2,1-2,50%
2,2,1060,〇,4,4,0,1,3,16.7%,0,0,2,3,,田浩,82,,14,,3,0,2,3,16.7%,1,3,24.7%,17:40,4,1-4,25%,2,0-2,0%,0,0-0,0%
16,7,1479,,2,1,0,3,12,55%,5,1,0,1,,成力煥,72,,21,,0,1,1,3,63.3%,4,4,25.6%,24:39,8,4-8,50%,2,1-2,50%,6,5-6,83.3%
26,9,1960,〇,1,1,0,5,21,50%,2,1,3,0,,雷特,152,,30,,3,6,6,8,51.3%,3,9,34.6%,32:40,12,3-12,25%,12,6-12,50%,3,2-3,66.7%
22,10,2337,〇,2,0,4,8,35,80%,6,5,7,3,,塔壁,153,,34,,3,0,0,15,74.1%,8,2,18.6%,38:57,10,8-10,80%,0,0-0,0%,11,6-11,54.5%
0,4,934,〇,0,1,1,3,1,0%,0,0,1,2,,容毅燊,78,,52,,0,0,1,4,0%,0,4,14%,15:34,4,0-4,0%,1,0-1,0%,0,0-0,0%
