points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
13,-2,1310,,0,0,0,2,12,72.2%,0,0,0,2,,賴廷恩,40,,0,,1,3,2,2,72.2%,2,2,19.2%,21:50,4,2-4,50%,5,3-5,60%,0,0-0,0%
13,12,1570,〇,1,1,0,1,11,60%,1,2,0,0,,林書緯,41,,1,,4,2,3,1,57.4%,3,2,21.2%,26:10,5,3-5,60%,5,2-5,40%,3,1-3,33.3%
5,15,1119,〇,2,2,0,0,2,50%,0,0,0,1,,簡偉儒,42,,2,,0,1,3,0,50%,1,0,17.4%,18:39,1,1-1,100%,4,1-4,25%,0,0-0,0%
,,,,,,,,,,,,,,,張宗憲,43,,3,,,,,,,,,,DNP,,,,,,,,,
14,-10,1553,,2,0,1,1,8,63.6%,0,2,1,2,,張伯維,45,,7,,0,2,2,2,58.9%,4,3,24.9%,25:53,7,4-7,57.1%,4,2-4,50%,2,0-2,0%
2,-6,563,,0,0,0,0,5,100%,0,0,2,2,,林孟學,49,,13,,1,0,0,2,100%,1,0,5%,09:23,1,1-1,100%,0,0-0,0%,0,0-0,0%
0,-2,1088,,1,4,0,3,3,0%,0,2,1,1,,蔡文誠,50,,14,,3,0,1,4,0%,0,4,17.1%,18:08,4,0-4,0%,1,0-1,0%,2,0-2,0%
28,16,2000,〇,3,8,0,7,35,62.5%,8,1,2,0,,辛特力,51,,17,,0,0,3,9,70.1%,10,3,31.2%,33:20,13,10-13,76.9%,3,0-3,0%,9,8-9,88.9%
8,-1,1230,,1,3,1,3,13,66.7%,0,0,1,1,,曾祥鈞,52,,21,,0,0,0,4,66.7%,4,2,15.7%,20:30,6,4-6,66.7%,0,0-0,0%,0,0-0,0%
5,1,839,,0,1,0,3,10,40%,1,1,5,1,,石博恩,53,,23,,0,0,0,8,42.5%,2,3,20.3%,13:59,5,2-5,40%,0,0-0,0%,2,1-2,50%
17,17,1580,〇,1,3,0,8,24,50%,7,3,0,2,,賈西亞,55,,36,,5,0,1,8,59%,5,4,26.5%,26:20,9,5-9,55.6%,1,0-1,0%,10,7-10,70%
5,10,1548,〇,0,5,0,8,14,50%,0,2,0,1,,曾文鼎,56,,76,,1,1,2,8,42.5%,1,1,10.5%,25:48,2,1-2,50%,3,1-3,33.3%,2,0-2,0%
