points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
6,2,784,,1,4,0,0,9,60%,0,0,0,3,,賴廷恩,40,,0,,3,2,2,0,60%,0,1,18.3%,13:04,1,0-1,0%,4,2-4,50%,0,0-0,0%
11,19,1627,,2,2,0,2,8,35.7%,1,1,2,1,,林書緯,41,,1,,4,2,7,4,37%,2,3,24.7%,27:07,5,2-5,40%,9,2-9,22.2%,2,1-2,50%
8,-7,1759,〇,2,4,0,3,7,33.3%,2,0,0,2,,簡偉儒,42,,2,,1,2,4,3,40.5%,0,3,16.2%,29:19,3,0-3,0%,6,2-6,33.3%,2,2-2,100%
8,-5,1496,〇,2,4,0,1,7,40%,0,0,1,2,,張宗憲,43,,3,,1,0,1,2,40%,4,5,19.8%,24:56,9,4-9,44.4%,1,0-1,0%,0,0-0,0%
2,-7,77,,1,0,0,0,2,0%,2,0,1,0,,周桂羽,46,,8,,0,0,0,1,113.6%,0,0,74.4%,01:17,0,0-0,0%,0,0-0,0%,2,2-2,100%
0,-2,124,,1,0,0,0,-1,0%,0,0,1,0,,郭少傑,47,,9,,0,0,1,1,0%,0,0,39.6%,02:04,0,0-0,0%,1,0-1,0%,0,0-0,0%
11,19,1590,〇,1,4,0,7,14,45.5%,1,1,1,1,,林志傑,48,,12,,0,2,5,8,46.3%,2,2,19.6%,26:30,4,2-4,50%,7,2-7,28.6%,2,1-2,50%
2,-8,311,,0,0,0,1,3,100%,0,0,0,1,,林孟學,49,,13,,0,0,0,1,100%,1,0,7.9%,05:11,1,1-1,100%,0,0-0,0%,0,0-0,0%
6,2,1183,,1,5,0,2,14,75%,0,0,2,1,,蔡文誠,50,,14,,1,0,1,4,75%,3,0,10.4%,19:43,3,3-3,100%,1,0-1,0%,0,0-0,0%
8,13,935,,0,2,3,1,14,60%,2,2,2,3,,曾祥鈞,52,,21,,2,0,0,3,59.2%,3,2,17.8%,15:35,5,3-5,60%,0,0-0,0%,4,2-4,50%
20,-1,2492,〇,3,2,1,9,26,64.3%,2,2,3,4,,塞瑟夫,54,,32,,2,2,1,12,63.5%,6,5,18.1%,41:32,11,6-11,54.5%,3,2-3,66.7%,4,2-4,50%
23,10,2022,〇,5,2,2,6,24,43.8%,9,3,8,1,,賈西亞,55,,36,,0,0,1,14,54%,7,8,31.5%,33:42,15,7-15,46.7%,1,0-1,0%,12,9-12,75%
